concept,prompt
cmt-conference,Classes liées à la conférence : offre  décision  document  personne  préférence  propriétés du comité de programme : accepte les soumissions sur papier  date  détails saisis par  activer la réunion virtuelle  saisir les détails de la conférence  saisir les critères de révision  finaliser l'affectation des documents  les manifestes d'envoi sur papier imprimés par  a un membre de la conférence  l'URL du logo  le membre de la conférence  le nom  l'affectation des documents finalisée par  les outils d'attribution des documents gérés par  imprimer les manifestes d'envoi sur papier  les critères d'examen entrés par  l'enchère des évaluateurs a commencé par  les critiques par article  exécuter les outils d'attribution des articles  site URL  lancer les enchères des évaluateurs  réunion virtuelle activée par
cmt-conferencechair,Classes liées à la chaise de conférence : chaise associée  membre de la conférence
cmt-conferencemember,Classes liées aux membres de la conférence : président associé  auteur  président de la conférence  personne  membre du comité de programme  réviseur propriétés : a un membre de la conférence  membre de la conférence
cmt-decision,classes liées à la décision : acceptation  offre  conférence  document  personne  préférence  comité de programme  rejet propriétés : a une décision
cmt-document,classes liées au document : offre  conférence  décision  article  personne  préférence  comité de programme  examen propriétés : a un conflit d'intérêts
cmt-externalreviewer,classes associées au réviseur externe : personne  propriétés du réviseur : affecter un réviseur externe  attribuées par le réviseur
cmt-meta-review,classes liées à la méta-revue : révision
cmt-meta-reviewer,Classes liées au méta-réviseur : propriétés du réviseur : lues par le méta-réviseur
cmt-paper,classes liées à l'article : document  résumé de l'article  version complète de l'article  propriétés de la révision : accepter l'article  accepté par  attribué à  co-rédiger l'article  a un auteur  a été attribué  a proposé  a un co-auteur  a une décision  a un domaine  marque un conflit d'intérêt  identifiant de l'article  lu par le méta-réviseur  lu par le réviseur  lu l'article  rejeter l'article  rejeté par  soumettre l'article  titre  rédiger l'article
cmt-paperabstract,cours connexes sur le résumé papier : papier
cmt-paperfullversion,version papier complète cours connexes : papier
cmt-person,classes liées à la personne : candidature  président  conférence  membre de la conférence  décision  document  évaluateur externe  préférence  comité de programme  membre du comité de programme  propriétés de l'utilisateur : e-mail  a un conflit d'intérêts
cmt-preference,classes liées aux préférences : candidature  conférence  décision  document  personne  comité de programme
cmt-programcommittee,classes liées au comité de programme : offre  conférence  décision  document  personne  préférence propriétés : a un membre du comité de programme  membre du comité de programme
cmt-programcommitteechair,classes associées au président du comité de programme : propriétés des membres du comité de programme : révision finale
cmt-programcommitteemember,Classes associées aux membres du comité de programme : auteur et non évaluateur  membre de la conférence  personne  propriétés du président du comité de programme : ajouter un membre du comité de programme  ajouté par  a un membre du comité de programme  nombre maximal d'articles  membre du comité de programme  définir le nombre maximal d'articles
cmt-rejection,cours liés au rejet : acceptation  décision
cmt-review,classes associées à la révision : document  méta-révision  propriétés du papier : fin de la révision  écriture de la révision  rédigée par
cmt-reviewer,classes liées au réviseur : auteur non réviseur  membre de la conférence  réviseur externe  méta réviseur  propriétés utilisateur : ajuster l'enchère  ajusté par  affecter un réviseur externe  attribuer un réviseur  attribué par l'administrateur  attribué par le réviseur  attribué à  a été attribué  lu par le réviseur  lire l'article  rédiger une critique  rédigé par
cmt-subjectarea,propriétés du domaine : possède un domaine
cmt-user,classes liées à l'utilisateur : administrateur  auteur  personne  réviseur
confof-administrative_event,classes liées aux événements administratifs : événement prêt à photographier  événement  événement d'enregistrement des participants  événement de révision  événement de révision des résultats  événement social  événement de soumission  événement de travail propriétés : suit  a un événement administratif  parallèle à
confof-administrator,classes liées à l'administrateur : personne
confof-assistant,classes liées à l'assistant : personne
confof-author,classes liées à l'auteur : propriétés de la personne : écrit  écrit par
confof-banquet,cours liés au banquet : réception  événement social  voyage
confof-camera_ready_event,Cours liés aux événements prêts à l'emploi : événement administratif  événement d'enregistrement des participants  événement de révision  événement de révision des résultats  événement de soumission
confof-chair_pc,classes liées au PC chaise : personne
confof-city,classes liées à la ville : contribution  événement  organisation  personne  propriétés du sujet : a une ville
confof-company,cours liés à l'entreprise : organisation  université
confof-conference,cours liés à la conférence : tutoriel  événement de travail  atelier
confof-contribution,classes liées à la contribution : ville  pays  événement  organisation  article  personne  affiche  article court  propriétés du sujet : résumé  e-mail de contact  traite  a un mot-clé  a un titre  une remarque  des critiques  écrit  écrit par
confof-country,classes liées au pays : contribution  événement  organisation  personne  propriétés du sujet : a un pays
confof-event,classes liées à l'événement : événement administratif  ville  contribution  pays  organisation  personne  événement social  sujet  propriétés de l'événement de travail : se termine le  commence le
confof-member,cours liés aux membres : participant
confof-member_pc,classes liées au PC membre : propriétés de la personne : expert sur  avis
confof-organization,classes liées à l'organisation : ville  entreprise  contribution  pays  événement  personne  sujet  université propriétés : employé par
confof-paper,cours liés à l'article : contribution  poster  article court
confof-participant,cours liés aux participants : membre  personne  régulier  étudiant propriétés : inscription anticipée
confof-person,classes liées à la personne : administrateur  assistant  auteur  ordinateur de chaise  ville  contribution  pays  événement  ordinateur membre  organisation  participant  érudit  travailleur scientifique  sujet  bénévole propriétés : employé par  a une ville  a un pays  a un e-mail  a un fax  a un prénom  a une page d'accueil  a un téléphone  a un code postal  a une rue  a un nom de famille
confof-poster,cours liés aux affiches : contribution  article  article court
confof-reception,cours liés à la réception : banquet  événement social  voyage
confof-registration_of_participants_event,inscription des participants aux cours liés à l'événement : événement administratif  événement de préparation à la caméra  événement de révision  événement de révision des résultats  événement de soumission
confof-regular,cours réguliers connexes : participant
confof-reviewing_event,révision des cours liés à l'événement : événement administratif  événement prêt à photographier  événement d'inscription des participants  événement de révision des résultats  événement de soumission
confof-reviewing_results_event,cours liés à l'événement de révision des résultats : événement administratif  événement de préparation de la caméra  événement d'enregistrement des participants  événement de révision  événement de soumission
confof-scholar,cours liés aux universitaires : propriétés de la personne : étudier à
confof-science_worker,classes liées aux travailleurs scientifiques : personne
confof-short_paper,cours courts liés à un article : contribution  article  affiche
confof-social_event,classes liées aux événements sociaux : événement administratif  banquet  événement  réception  voyage  propriétés de l'événement de travail : choix par défaut  a un titre  un emplacement
confof-student,cours liés aux étudiants : participant
confof-submission_event,cours liés à l'événement de soumission : événement administratif  événement prêt à photographier  événement d'enregistrement des participants  événement de révision  événement de révision des résultats
confof-topic,classes liées au sujet : ville  contribution  pays  événement  organisation  personne propriétés : s'occupe de  expert sur  a un sujet
confof-trip,cours liés au voyage : banquet  réception  événement social
confof-tutorial,cours liés au tutorat : conférence  événement de travail  atelier
confof-university,cours liés à l'université : entreprise  propriétés de l'organisation : étudier à
confof-volunteer,cours liés au bénévolat : personne
confof-working_event,classes liées à un événement de travail : événement administratif  conférence  événement  événement social  didacticiel  propriétés de l'atelier : choix par défaut  a un événement administratif  a un titre  a un sujet  un emplacement
confof-workshop,cours liés à l'atelier : conférence  tutoriel  événement de travail
edas-academiaorganization,Classes liées aux organisations universitaires : organisation gouvernementale  organisation industrielle  ONG  organisation
edas-academicevent,cours liés à un événement académique : conférence  événement non académique  réunion d'organisation  présentation d'article  conférence  propriétés de l'atelier : pour l'événement  a un appel
edas-acceptrating,accepter les classes liées à la notation : accepter si la note de la chambre  la note de rejet  la note de révision  la note de rejet de la semaine
edas-acceptedpaper,classes associées aux articles acceptés : article actif  article  article en attente  article publié  article rejeté  article retiré propriétés : liées à l'événement  liées au papier
edas-accommodationplace,lieu d'hébergement classes liées: lieu
edas-accpetifroomrating,accepter si les classes liées à l'évaluation de la chambre : accepter la note  rejeter la note  évaluer la note  rejeter la note de la semaine
edas-activepaper,classes liées aux articles actifs : article accepté  article  article en attente  article publié  articles notés  article rejeté  article retiré propriétés : a une note
edas-antennastopic,Cours connexes sur le sujet des antennes : sujet CAO  sujet de théorie de la communication  sujet de communication  sujet d'architecture informatique  sujet de réseaux informatiques  sujet de cryptographie  sujet de médecine  sujet de microélectronique  sujet d'informatique mobile  sujet multimédia  sujet d'exploitation  sujet d'informatique parallèle et distribuée  sujet de performance  sujet de transmission par ligne électrique  sujet de communications radio  sujet de communications par satellite et spatiales  sujet de sécurité  sujet de traitement du signal  sujet de test uniquement  sujet  sujet de communications sans fil.
edas-attendee,cours liés au participant : personne
edas-author,classes liées à l'auteur : président de conférence  personne  présentateur  président de session  propriétés de membre tpc : a un article connexe  est écrit par
edas-breakevent,cours liés aux événements de pause : pause café  pause temps libre  pause repas  événement repas  événement non académique
edas-cadtopic,Cours connexes sur le sujet CAO : sujet des antennes  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-call,cours liés à l'appel : appel à manuscrits  appel à communications  appel à critiques  conférence  événement de conférence  session de conférence  informations de contact  pays  document  organisation  personne  histoire personnelle  lieu  formulaire de révision  question de révision  évaluation  parrainage  propriétés du sujet : pour l'événement  a un appel  a une date limite de soumission  a des instructions de soumission  initie  est initié par
edas-callformanuscripts,appel à cours liés aux manuscrits : appel
edas-callforpapers,appel à communications pour les cours liés : appel
edas-callforreviews,appel à avis cours liés : appel
edas-closingtalk,cours liés à la conférence de clôture : événement de discussion  conférence de bienvenue
edas-coffeebreak,cours liés à la pause-café : événement de pause
edas-communicationtheorytopic,Cours connexes sur le sujet de la théorie de la communication : sujet des antennes  sujet de la CAO  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-communicationstopic,Cours connexes sur le sujet des communications : sujet des antennes  sujet CAO  sujet de la théorie de la communication  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-computerarchitecturetopic,Cours connexes sur le sujet de l'architecture informatique : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-computernetworksaapplicationstopic,Cours connexes sur le sujet des applications et des réseaux informatiques : sujet d'entreprise sur les réseaux informatiques  sujet sur la gestion des réseaux informatiques  sujet sur les mesures des réseaux informatiques  sujet sur l'optique des réseaux informatiques  sujet sur la sécurité des réseaux informatiques  sujet sur les capteurs de réseaux informatiques  sujet sur la commutation des réseaux informatiques  sujet sur les réseaux informatiques
edas-computernetworksenterprisetopic,Cours connexes sur le sujet d'entreprise des réseaux informatiques : sujet sur les applications et les réseaux informatiques  sujet sur la gestion des réseaux informatiques  sujet sur les mesures des réseaux informatiques  sujet sur l'optique des réseaux informatiques  sujet sur la sécurité des réseaux informatiques  sujet sur les capteurs de réseaux informatiques  sujet sur la commutation des réseaux informatiques  sujet sur les réseaux informatiques
edas-computernetworksmanagementtopic,Cours connexes sur le sujet de gestion des réseaux informatiques : sujet sur les applications et les réseaux informatiques  sujet sur les entreprises de réseaux informatiques  sujet sur les mesures des réseaux informatiques  sujet sur l'optique des réseaux informatiques  sujet sur la sécurité des réseaux informatiques  sujet sur les capteurs de réseaux informatiques  sujet sur la commutation des réseaux informatiques  sujet sur les réseaux informatiques
edas-computernetworksmeasurementstopic,Cours connexes sur le sujet des mesures des réseaux informatiques : sujet des applications et des réseaux informatiques  sujet de l'entreprise des réseaux informatiques  sujet de la gestion des réseaux informatiques  sujet de l'optique des réseaux informatiques  sujet de la sécurité des réseaux informatiques  sujet des capteurs de réseaux informatiques  sujet de la commutation des réseaux informatiques  sujet des réseaux informatiques.
edas-computernetworksopticaltopic,Cours connexes sur le sujet optique des réseaux informatiques : sujet sur les applications et les réseaux informatiques  sujet sur les entreprises de réseaux informatiques  sujet sur la gestion des réseaux informatiques  sujet sur les mesures des réseaux informatiques  sujet sur la sécurité des réseaux informatiques  sujet sur les capteurs de réseaux informatiques  sujet sur la commutation des réseaux informatiques  sujet sur les réseaux informatiques
edas-computernetworkssecuritytopic,Cours connexes sur le sujet de la sécurité des réseaux informatiques : sujet des applications et des réseaux informatiques  sujet de l'entreprise des réseaux informatiques  sujet de la gestion des réseaux informatiques  sujet des mesures des réseaux informatiques  sujet des réseaux informatiques optiques  sujet des capteurs de réseaux informatiques  sujet de la commutation des réseaux informatiques  sujet des réseaux informatiques.
edas-computernetworkssensortopic,Cours connexes sur le sujet des capteurs de réseaux informatiques : sujet sur les applications et les réseaux informatiques  sujet sur l'entreprise des réseaux informatiques  sujet sur la gestion des réseaux informatiques  sujet sur les mesures des réseaux informatiques  sujet sur l'optique des réseaux informatiques  sujet sur la sécurité des réseaux informatiques  sujet sur la commutation des réseaux informatiques  sujet sur les réseaux informatiques
edas-computernetworksswitchingtopic,Cours connexes sur le sujet de changement de réseaux informatiques : sujet d'applications de réseaux informatiques  sujet d'entreprise de réseaux informatiques  sujet de gestion de réseaux informatiques  sujet de mesures de réseaux informatiques  sujet optique de réseaux informatiques  sujet de sécurité des réseaux informatiques  sujet de capteurs de réseaux informatiques  sujet de réseaux informatiques
edas-computernetworkstopic,Cours connexes sur le sujet des réseaux informatiques : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des applications des réseaux informatiques  sujet des entreprises de réseaux informatiques  sujet de la gestion des réseaux informatiques  sujet des mesures des réseaux informatiques  sujet des réseaux informatiques optiques  sujet de la sécurité des réseaux informatiques  sujet des capteurs de réseaux informatiques  sujet de la commutation des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par ligne électrique  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de sécurité  sujet de traitement du signal  sujet de test uniquement  sujet  sujet de communications sans fil
edas-conference,Cours liés à la conférence : appel  événement de conférence  session de conférence  informations de contact  pays  document  organisation  article  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  note d'évaluation  parrainage  propriétés du sujet : date de fin  a un pays  a un membre  a un nom  a un sujet  est membre de  manuscrit dû le  article dû le  inscription due le  date de début
edas-conferencechair,Classes liées à la chaise de conférence : auteur  personne
edas-conferencedinner,Cours liés au dîner-conférence : repas événementiel
edas-conferenceevent,Classes liées à un événement de conférence : événement académique  appel  conférence  session de conférence  informations de contact  pays  document  événement non académique  organisation  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  évaluation  parrainage  propriétés du sujet : participant à  appartient à l'événement  a un participant  a une date et une heure de fin  a un lieu  a un programme  a une date et une heure de début  est le lieu de
edas-conferencesession,Cours liés à la session de conférence : appel  conférence  événement de conférence  coordonnées  pays  document  organisation  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  note d'évaluation  parrainage  sujet.
edas-conferencevenueplace,lieu de la conférence lieu cours liés : lieu
edas-contactinformation,informations de contact classes liées : appel  conférence  événement de conférence  session de conférence  pays  document  organisation  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  évaluation  parrainage  propriétés du sujet : a une ville  a un téléphone  a un code postal  a une rue
edas-country,cours liés au pays : appel  conférence  événement de conférence  session de conférence  informations de contact  document  organisation  personne  histoire personnelle  lieu  formulaire d'évaluation  question d'évaluation  note d'évaluation  parrainage  propriétés du sujet : a un pays
edas-cryptographytopic,Cours connexes sur le sujet de la cryptographie : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la médecine  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-diningplace,classes liées au lieu de restauration : lieu
edas-document,classes liées aux documents : appel  conférence  événement de conférence  séance de conférence  informations de contact  pays  menu de repas  organisation  article  personne  histoire personnelle  lieu  programme  évaluation  formulaire d'évaluation  question d'évaluation  évaluation  ensemble de diapositives  parrainage  propriétés du sujet : contient un document associé  se rapporte à
edas-excursion,cours liés aux excursions : événement social
edas-freetimebreak,cours liés aux pauses de temps libre : événement de pause
edas-governmentorganization,cours liés aux organisations gouvernementales : organisation universitaire  organisation industrielle  ONG  organisation
edas-industryorganization,cours liés à l'organisation industrielle : organisation universitaire  organisation gouvernementale  ONG  organisation
edas-mealbreak,cours liés aux pauses repas : événement de pause
edas-mealevent,cours liés à un événement repas : événement de pause  dîner de conférence  propriétés d'événement non académique : a un menu  est un menu de
edas-mealmenu,classes liées au menu de repas : document  article  programme  révision  propriétés du jeu de diapositives : a un menu  est un menu de
edas-medicinetopic,Cours connexes sur le sujet de la médecine : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la microélectronique  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-meetingroomplace,salle de réunion lieu cours liés: lieu
edas-microelectronicstopic,Cours connexes sur le sujet de la microélectronique : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de l'informatique mobile  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-mobilecomputingtopic,Cours connexes sur le sujet de l'informatique mobile : sujet des antennes  sujet de la CAO  sujet de la théorie de la communication  sujet des communications  sujet de l'architecture informatique  sujet des réseaux informatiques  sujet de la cryptographie  sujet de la médecine  sujet de la microélectronique  sujet multimédia  sujet des systèmes d'exploitation  sujet de l'informatique parallèle et distribuée  sujet des performances  sujet de la transmission par lignes électriques  sujet des communications radio  sujet des communications par satellite et spatiales  sujet de la sécurité  sujet du traitement du signal  sujet des tests uniquement  sujet  sujet des communications sans fil.
edas-multimediatopic,Cours connexes sur des sujets multimédia : sujet sur les antennes  sujet sur la CAO  sujet sur la théorie de la communication  sujet sur les communications  sujet sur l'architecture informatique  sujet sur les réseaux informatiques  sujet sur la cryptographie  sujet sur la médecine  sujet sur la microélectronique  sujet sur l'informatique mobile  sujet sur les systèmes d'exploitation  sujet sur l'informatique parallèle et distribuée  sujet sur les performances  sujet sur la transmission par lignes électriques  sujet sur les communications radio  sujet sur les communications par satellite et spatiales  sujet sur la sécurité  sujet sur le traitement du signal  sujet sur les tests uniquement  sujet  sujet sur les communications sans fil.
edas-ngo,cours liés aux ONG : organisation universitaire  organisation gouvernementale  organisation industrielle  organisation
edas-nonacademicevent,cours non liés à un événement académique : événement académique  événement de pause  événement de conférence  événement repas  événement social
edas-numericalreviewquestion,Classes liées aux questions de révision numérique : question de révision
