concept,prompt
conference-tutorial,教程相关课程：会议部分、轨道、研讨会属性：有教程
conference-workshop,研讨会相关课程：会议部分、轨道、教程属性：有研讨会
conference-written_contribution,书面投稿相关类别：会议投稿、海报、定期投稿、提交投稿
cmt-acceptance,接受相关类：决定、拒绝
cmt-administrator,管理员相关类：用户属性：接受论文、接受者、添加程序委员会成员、添加者、分配审阅者、管理员分配、输入详细信息、启用虚拟会议、输入会议详细信息、输入审阅标准、完成论文作业、打印硬拷贝邮寄清单、论文作业完成者、运行论文作业工具、打印硬拷贝邮寄清单、拒绝论文、拒绝者、输入审稿标准、审稿人开始投标、运行论文作业工具、设置最大论文数、启动审稿人投标、启用虚拟会议
cmt-associatedchair,关联主席相关类别：会议主席、会议成员
cmt-author,作者相关类：作者非审稿人、共同作者、会议成员、用户属性：有作者、提交论文、撰写论文
cmt-authornotreviewer,作者非审稿人相关类：作者、程序委员会成员、审稿人
cmt-bid,投标相关类：会议、决定、文件、人员、偏好、计划委员会属性：调整投标、调整者、已投标
cmt-chairman,主席相关类别：副主席、会议主席、人员、程序委员会主席
cmt-co-author,共同作者相关类： 作者属性：共同撰写论文，有共同作者
cmt-conference,会议相关类别：投标、决定、文档、人员、偏好、计划委员会属性：接受硬拷贝提交、日期、输入详细信息、启用虚拟会议、输入会议详细信息、输入审核标准、最终确定论文作业、打印硬拷贝邮寄清单、有会议成员、徽标 url、会议成员、姓名、论文作业最终完成者、论文作业工具运行者、打印硬拷贝邮寄清单、输入评审标准、审稿人投标开始者、每篇论文的审阅、运行论文作业工具、站点 URL、启动审阅者投标，虚拟会议由
cmt-conferencechair,会议主席相关类别：副主席、会议成员
cmt-conferencemember,会议成员相关类：关联主席、作者、会议主席、人员、程序委员会成员、审稿人属性：有会议成员、会议成员
cmt-decision,决策相关类：接受、投标、会议、文件、人员、偏好、计划委员会、拒绝属性：有决策
cmt-document,文档相关类别：投标、会议、决定、论文、人员、偏好、计划委员会、审查属性：有利益冲突
cmt-externalreviewer,外部审阅者相关类：人员、审阅者属性：分配外部审阅者、由审阅者分配
cmt-meta-review,元评论相关类：评论
cmt-meta-reviewer,元审阅者相关类：审阅者属性：由元审阅者读取
cmt-paper,论文相关类：文档、论文摘要、论文完整版、审稿属性：接受论文、被接受、分配给、共同撰写论文、有作者、已分配、已出价、有共同作者、有决定、有主题领域、标记利益冲突、论文 ID、由元审稿人阅读、由审稿人阅读、阅读论文、拒绝论文、被拒绝、提交论文、标题、撰写论文
cmt-paperabstract,论文摘要相关类：paper
cmt-paperfullversion,paper完整版相关类：paper
cmt-person,人员相关类别：投标、主席、会议、会议成员、决定、文件、外部审阅者、偏好、程序委员会、程序委员会成员、用户属性：电子邮件、存在利益冲突
cmt-preference,偏好相关类别：投标、会议、决定、文件、人员、计划委员会
cmt-programcommittee,程序委员会相关类：bid、conference、decision、document、person、preference 属性：有程序委员会成员、程序委员会成员
cmt-programcommitteechair,程序委员会主席相关类别：程序委员会成员属性：最终审查
cmt-programcommitteemember,程序委员会成员相关类：作者非审稿人、会议成员、人员、程序委员会主席属性：添加程序委员会成员、添加者、有程序委员会成员、最大论文数、程序委员会成员、设置最大论文数
cmt-rejection,拒绝相关类：接受、决定
cmt-review,评审相关类：文档、元评审、论文属性：最终评审、撰写评审、撰写人
cmt-reviewer,审阅者相关类：作者非审阅者、会议成员、外部审阅者、元审阅者、用户属性：调整出价、调整者、分配外部审阅者、分配审阅者、由管理员分配、由审阅者分配、分配给、已分配、由审阅者阅读、阅读论文、撰写评论、撰写者
cmt-subjectarea,主题区域属性：有主题区域
cmt-user,用户相关类：管理员、作者、人员、审阅者
confof-administrative_event,管理事件相关类：相机就绪事件、事件、参与者注册事件、审查事件、审查结果事件、社交事件、提交事件、工作事件属性：跟随、有管理事件、与
confof-administrator,管理员相关类：person
confof-assistant,助理相关类：人
confof-author,作者相关类： 人物属性： 写、写者
confof-banquet,宴会相关课程：接待、社交活动、旅行
confof-camera_ready_event,相机就绪事件相关类：管理事件、参与者注册事件、审核事件、审核结果事件、提交事件
confof-chair_pc,椅子电脑相关课程：人
confof-city,城市相关类：贡献、事件、组织、人员、主题属性：有城市
confof-company,公司相关课程：组织、大学
confof-conference,会议相关课程：教程、工作活动、研讨会
confof-contribution,贡献相关类：城市、国家、事件、组织、论文、人物、海报、短论文、主题属性：摘要、联系电子邮件、处理、有关键字、有标题、评论、评论、撰写、撰写者
confof-country,国家相关类：贡献、事件、组织、人员、主题属性：有国家
confof-event,事件相关类：行政事件、城市、贡献、国家、组织、人员、社交事件、主题、工作事件属性：结束于、开始于
confof-member,成员相关类：参与者
confof-member_pc,会员电脑相关类别：人物属性：专家、评论
confof-organization,组织相关类：城市、公司、贡献、国家、事件、人物、主题、大学属性：受雇于
confof-paper,论文相关类：投稿、海报、短论文
confof-participant,参与者相关类别：会员、个人、常规、学生属性：提前注册
confof-person,人员相关类：管理员、助理、作者、主席电脑、城市、贡献、国家、事件、成员电脑、组织、参与者、学者、科学工作者、主题、志愿者属性：受雇、有城市、有国家、有电子邮件、有传真、有名字、有主页、有电话、有邮政编码、有街道、有姓氏
confof-poster,海报相关类别：贡献、论文、短论文
confof-reception,接待相关课程：宴会、社交活动、旅行
confof-registration_of_participants_event,参与者注册事件相关类：管理事件、相机就绪事件、审查事件、审查结果事件、提交事件
confof-regular,常规相关课程：参与者
confof-reviewing_event,审查事件相关类：管理事件、相机就绪事件、参与者注册事件、审查结果事件、提交事件
confof-reviewing_results_event,审核结果事件相关类：管理事件、相机就绪事件、参与者注册事件、审核事件、提交事件
confof-scholar,学者相关类别： 人物属性： 学习于
confof-science_worker,科学工作者相关课程：人
confof-short_paper,短论文相关课程：贡献、论文、海报
confof-social_event,社交事件相关类：行政事件、宴会、事件、招待会、旅行、工作事件属性：默认选择，有标题、位置
confof-student,学生相关课程：参与者
confof-submission_event,提交事件相关类：管理事件、相机就绪事件、参与者注册事件、审核事件、审核结果事件
confof-topic,主题相关类：城市、贡献、国家、事件、组织、人员属性：处理、专家、有主题
confof-trip,旅行相关课程：宴会、招待会、社交活动
confof-tutorial,教程相关课程：会议、工作活动、研讨会
confof-university,大学相关课程：公司、组织性质：学习地点
confof-volunteer,志愿者相关课程：人
confof-working_event,工作事件相关类：管理事件、会议、事件、社交事件、教程、研讨会属性：默认选择、有管理事件、有标题、有主题、位置
confof-workshop,研讨会相关课程：会议、教程、工作活动
edas-academiaorganization,学术组织相关类：政府组织、行业组织、NGO、组织
edas-academicevent,学术活动相关类：会议活动、非学术活动、组织会议、论文演示、谈话活动、研讨会属性：用于活动、已致电
edas-acceptrating,接受评级相关类别：接受房间评级、拒绝评级、评论评级、周拒绝评级
edas-acceptedpaper,接受的论文相关类别：活动论文、论文、待处理论文、已发表论文、拒绝论文、撤回论文属性：与事件相关、与论文相关
edas-accommodationplace,住宿地点相关类别：地点
edas-accpetifroomrating,是否接受客房评级相关类别：接受评级、拒绝评级、审核评级、周拒绝评级
edas-activepaper,活动论文相关类别：已接受论文、论文、待处理论文、已发表论文、已评级论文、已拒绝论文、已撤回论文属性：已评级
edas-antennastopic,天线主题相关课程：CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-attendee,与参加者相关的课程：人
edas-author,作者相关类别：会议主席、人员、演示者、会议主席、tpc 成员属性：有相关论文，作者为
edas-breakevent,休息活动相关课程：茶歇、自由时间、用餐休息、用餐活动、非学术活动
edas-cadtopic,cad主题相关课程：天线主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-call,调用相关类：征集稿件、征集论文、征集评论、会议、会议活动、会议会议、联系信息、国家、文件、组织、人员、个人历史、地点、评审表、评审问题、评审评级、赞助、主题属性：对于事件、已调用、已提交截止日期、已提交说明、发起、发起人
edas-callformanuscripts,相关课程征稿：致电
edas-callforpapers,征集论文相关课程：call
edas-callforreviews,呼吁评论相关课程：致电
edas-closingtalk,结束演讲相关课程：演讲活动、欢迎演讲
edas-coffeebreak,茶歇相关课程：茶歇活动
edas-communicationtheorytopic,通信理论主题相关课程：天线主题、CAD主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-communicationstopic,通信主题相关课程：天线主题、CAD主题、通信理论主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-computerarchitecturetopic,计算机体系结构主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-computernetworksaapplicationstopic,计算机网络应用主题相关课程：计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworksenterprisetopic,计算机网络企业主题相关课程：计算机网络应用主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworksmanagementtopic,计算机网络管理主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworksmeasurementstopic,计算机网络测量主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworksopticaltopic,计算机网络光学主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworkssecuritytopic,计算机网络安全主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络传感器主题、计算机网络交换主题、计算机网络主题
edas-computernetworkssensortopic,计算机网络传感器主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络交换主题、计算机网络主题
edas-computernetworksswitchingtopic,计算机网络切换主题相关课程：计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络主题
edas-computernetworkstopic,计算机网络主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络应用主题、计算机网络企业主题、计算机网络管理主题、计算机网络测量主题、计算机网络光学主题、计算机网络安全主题、计算机网络传感器主题、计算机网络交换主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-conference,会议相关类：电话、会议活动、会议会议、联系信息、国家、文档、组织、论文、人员、个人历史、地点、评审表、评审问题、评审评级、赞助、主题属性：结束日期、有国家、有成员、有姓名、有主题、是成员、稿件到期日期、论文到期日期、注册到期日期、开始日期
edas-conferencechair,会议主席相关类：作者、人物
edas-conferencedinner,会议晚餐相关课程：用餐活动
edas-conferenceevent,会议活动相关类：学术活动、电话、会议、会议会议、联系信息、国家、文档、非学术活动、组织、人员、个人历史、地点、审查表、审查问题、审查评级、赞助、主题属性：参加者、属于活动、有参加者、有结束日期时间、有位置、有计划、有开始日期时间、是位置
edas-conferencesession,会议相关课程：电话、会议、会议活动、联系信息、国家、文档、组织、人员、个人历史、地点、评论表、评论问题、评论评级、赞助、主题
edas-conferencevenueplace,会议地点 place 相关类： place
edas-contactinformation,联系信息相关类：电话、会议、会议活动、会议会议、国家、文档、组织、个人历史、地点、评论表、评论问题、评论评级、赞助、主题属性：有城市、有电话、有邮政编码、有街道
edas-country,国家相关类：电话、会议、会议活动、会议、联系信息、文档、组织、人员、个人历史、地点、评论表、评论问题、评论评级、赞助、主题属性：有国家/地区
edas-cryptographytopic,密码学主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-diningplace,就餐场所相关类别：place
edas-document,文档相关类：电话、会议、会议活动、会议会议、联系信息、国家、膳食菜单、组织、论文、人员、个人历史、地点、计划、评论、评论表、评论问题、评论评级、幻灯片集、赞助、主题属性：有相关文档，涉及
edas-excursion,短途旅行相关课程：社交活动
edas-freetimebreak,空闲时间休息相关课程：休息活动
edas-governmentorganization,政府组织相关类：学术组织、行业组织、NGO、组织
edas-industryorganization,行业组织相关类：学术组织、政府组织、NGO、组织
edas-mealbreak,餐间休息相关课程：休息活动
edas-mealevent,用餐活动相关类：休息活动、会议晚餐、非学术活动属性：有菜单，是菜单
edas-mealmenu,餐菜单相关类：document、paper、programme、review、slide set属性：有菜单、是菜单
edas-medicinetopic,医学主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-meetingroomplace,会议室地点相关课程：地点
edas-microelectronicstopic,微电子主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-mobilecomputingtopic,移动计算主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-multimediatopic,多媒体主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-ngo,NGO相关类：学术界组织、政府组织、行业组织、组织
edas-nonacademicevent,非学术活动相关课程：学术活动、休息活动、会议活动、用餐活动、社交活动
edas-numericalreviewquestion,数值复习题相关类：复习题
edas-operatingtopicsystems,操作主题系统相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-organization,组织相关类：学术界组织、电话、会议、会议活动、会议会议、联系信息、国家、文件、政府组织、行业组织、非政府组织、个人、个人历史、地点、评论表、评论问题、评论评级、赞助、主题属性：是提供者，由提供者提供
edas-organizationalmeeting,组织会议相关课程：学术活动、论文展示、谈话活动、研讨会
edas-paper,论文相关类别：已接受的论文、活动论文、会议、文件、膳食菜单、待处理论文、计划、已发表的论文、被拒绝的论文、评论、幻灯片集、撤回的论文属性：有相关论文、由谁审阅、正在审阅、由谁撰写
edas-paperpresentation,论文展示相关类：学术活动、组织会议、演讲活动、研讨会属性：与活动相关、与论文相关
edas-parallelanddistributedcomputingtopic,并行和分布式计算主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-pendingpaper,待处理论文相关类别：已接受论文、活跃论文、论文、已发表论文、已拒绝论文、已撤回论文
edas-performancetopic,性能主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-person,人员相关类：与会者、通话、会议、会议主席、会议活动、会议会议、国家、文档、组织、个人历史、地点、审查表、审查问题、审查评级、会议主席、赞助、主题、tpc 成员属性：与会者位于、有与会者、有传记、有名字、有姓氏、有成员、是以下成员
edas-personalhistory,个人历史相关类：电话、会议、会议活动、会议会议、联系信息、国家、文档、组织、人员、个人出版历史、个人评论历史、地点、评论表、评论问题、评论评级、赞助、主题
edas-personalpublicationhistory,个人出版历史相关类：个人历史
edas-personalreviewhistory,个人评论历史相关类：个人历史属性：有评论历史，是评论历史
edas-place,地点相关类：住宿地点、电话、会议、会议活动、会议环节、会议地点、联系信息、国家、用餐地点、文档、会议室地点、组织、人员、个人历史、评论表、评论问题、评论评级、赞助、主题属性：有位置、是位置
edas-powerlinetransmissiontopic,电力线传输主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-presenter,演讲者相关课程：作者
edas-programme,节目相关类：文档、膳食菜单、论文、评论、幻灯片集属性：属于活动、有节目
edas-publishedpaper,已发表论文相关类别：已接受论文、活跃论文、论文、待处理论文、拒绝论文、撤回论文
edas-radiocommunicationstopic,无线电通信主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、卫星和空间通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-ratedpapers,评级论文相关类别：活跃论文
edas-reception,接待相关课程：社交活动
edas-rejectrating,拒绝评级相关类别：接受评级、接受房间评级、评论评级、周拒绝评级
edas-rejectedpaper,被拒绝的论文相关类别：已接受的论文、活跃的论文、论文、待处理的论文、已发表的论文、撤回的论文
edas-review,复习相关课程：文档、膳食菜单、论文、计划、幻灯片
edas-reviewform,审查表格相关类：电话、会议、会议活动、会议会议、联系信息、国家、文档、组织、人员、个人历史、地点、审查问题、审查评级、赞助、主题
edas-reviewquestion,审查问题相关类：电话、会议、会议活动、会议会议、联系信息、国家、文档、数字审查问题、组织、人员、个人历史、地点、审查表、审查评级、赞助、文本审查问题、主题
edas-reviewrating,评论评级相关类别：接受评级、接受房间评级、通话、会议、会议活动、会议会议、联系信息、国家、文档、组织、人员、个人历史、地点、拒绝评级、评论表格、评论问题、赞助、主题、周拒绝评级属性：有评级
edas-reviewer,评论者相关类：人员属性：有评论历史记录，是评论历史记录
edas-satelliteandspacecommunicationstopic,卫星和空间通信主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、安全主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-securitytopic,安全主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、信号处理主题、仅测试主题、主题、无线通信主题
edas-sessionchair,会议主席相关课程：作者、人物
edas-signalprocessingtopic,信号处理主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、仅测试主题、主题、无线通信主题
edas-singlelevelconference,single level conference  related classes: conference  two level conference
edas-slideset,幻灯片相关课程：文档、膳食菜单、论文、计划、评论
edas-socialevent,社交活动相关课程：短途旅行、非学术活动、接待
edas-sponsorship,赞助相关类别：电话、会议、会议活动、会议会议、联系信息、国家、文件、组织、人员、个人历史、地点、审核表、审核问题、审核评级、主题、旅行补助金属性：具有成本金额、具有成本货币、是提供者、由以下提供者
edas-tpcmember,tpc 成员相关类：作者、人物
edas-talkevent,演讲活动相关课程：学术活动、闭幕式演讲、组织会议、论文展示、欢迎演讲、研讨会
edas-testonlytopic,仅测试主题相关课程：天线主题、CAD主题、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、密码学主题、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、并行和分布式计算主题、性能主题、电力线传输主题、无线电通信主题、卫星和空间通信主题、安全主题、信号处理主题、主题、无线通信主题
edas-textualreviewquestion,文本复习题相关课程：复习题
edas-topic,主题相关课程：天线主题、CAD主题、呼叫、通信理论主题、通信主题、计算机体系结构主题、计算机网络主题、会议、会议活动、会议会话、联系信息、国家、密码学主题、文档、医学主题、微电子主题、移动计算主题、多媒体主题、操作主题系统、组织、并行和分布式计算主题、性能主题、人物、个人历史、地点、电力线传输主题、无线电通信主题、评论表格、评论问题、评论评级、卫星和空间通信主题、安全主题、信号处理主题、赞助、仅测试主题、无线通信主题属性：有主题、是主题
edas-travelgrant,旅费补助相关类别：赞助
edas-twolevelconference,二级会议相关类：conference
edas-weekrejectrating,周拒绝评级相关类别：接受评级、接受房间评级、拒绝评级、评论评级
edas-welcometalk,欢迎演讲相关课程：闭幕演讲、演讲活动
