concept,prompt
conference-conference_www,Document de conférence de la conférence WWW
conference-contribution_1th-author,Contribution auteur régulier du 1er auteur
conference-contribution_co-author,Co-auteur co-auteur de contribution
conference-early_paid_applicant,Le demandeur payant précoce
conference-extended_abstract,Résumé de contribution régulière étendue Résumé
conference-important_dates,Volume de conférence des dates importantes
conference-information_for_participants,Informations sur le document de la conférence des participants
conference-invited_speaker,Contributeur de la conférence des conférenciers invités
conference-invited_talk,Présentation de la conversation invitée
conference-late_paid_applicant,Demandeur rémunéré en retard
conference-organization,Organisation
conference-organizer,Membre ou organisation du comité d'organisateur
conference-organizing_committee,Volume de conférence des comités d'organisation des comités
conference-paid_applicant,Demandeur rémunéré demandeur enregistré précoce du demandeur de tardite demandeur payant
conference-paper,Contribution régulière du papier
conference-passive_conference_participant,Participant de la conférence passive participant à la conférence
conference-person,Personne Track-Workshop Conference Conference Conference Deviceur Conference Conference Conference Committee Member Reviewer Conference Document
conference-poster,Contribution de la conférence d'affiches
conference-presentation,Contribution de la conférence de présentation Invitée Participant Conférence Active Conference
conference-program_committee,Volume de conférence du comité des comités de programme
conference-publisher,Actes de conférence des éditeurs
conference-registeered_applicant,Demandeur de conférence de la demandeur enregistrée demandeur
conference-regular_author,Contributeur de la conférence des auteurs réguliers co-auteur co-auteur du 1er auteur
conference-regular_contribution,Contribution régulière Contribution écrite Document abstrait étendu
conference-rejected_contribution,Contribution rejetée Contribution examinée
conference-review,Le document de conférence de révision ne fait que le réviseur des auteurs a examiné la contribution
conference-review_expertise,Expertise de révision Certains appartiennent aux réviseurs Réviseur Thing Certains ont une contribution soumise à contribution soumise à contribution
conference-review_preference,Examiner la préférence Certains ont un sujet ou une contribution de soumission soumise à contribution ou un sujet appartient à la réviseurs de réviseurs Contribution ou sujet soumis
conference-reviewed_contribution,Contribution examinée Soumise Contribution Acceptée Contribution Rejetée REVUE DES CONTRIBUTIONS
conference-reviewer,Expertise en revue de la personne examinée ou réviser le réviseur des préférences
conference-steering_committee,Volume de conférence du comité du comité du pilotage
conference-submitted_contribution,Contribution soumise Affiche de contribution écrite ou révision de la contribution régulière Expertise en revue de contribution
conference-topic,Partie de conférence sur les préférences d'examen du sujet
conference-track,Partie de la conférence sur piste
conference-track-workshop_chair,Personne de conférence du président de la piste de la piste
conference-tutorial,Partie de la conférence du tutoriel
conference-workshop,Partie de la conférence de l'atelier
conference-written_contribution,Contribution écrite CONFÉRENCE Affiche ou contribution régulière Contribution Soumise Contribution régulière
conference-thing,Expertise expertise Organisateur Review Préférence
myreview-acceptedpaper,Papier en papier accepté Un examen isratedby a une valeur d'accepter pour Hasstatus une séance de chaise isaccepted par
myreview-administrator,Administrateur Programme CommitTeMember Criterion ou Paperstatus or Question ou Research Sujet
myreview-author,Personne auteur Contactez le document de l'auteur
myreview-bookletofabstracts,Livretofabstraits OutputDocument
myreview-cd-rom,CD-ROM OutputDocument
myreview-chair,PROGRAMME PROGRAMME COMMITTEMEMBER Session de réviseur de papier
myreview-conference,Chose de conférence exactement 1 de Hasname exactement 1 de Hasacronyl exactement 1 de Hasemail
myreview-conferenceattendant,Conférencestendants Certains frais MUSTPAY ont une valeur vraie pour payé exactement 1 de Hasphone exactement 1 des frais de personne Hasadress
myreview-conferenceprogram,ConferenceProgram Thing exactement 1 de la conférence des emplacements Isprogramof
myreview-contactauthor,ContactAuthor Eactement 1 de l'auteur Hasemail PaperAbstract
myreview-criterion,Critère exactement 1 de Hasweight
myreview-document,Document d'évaluation du document PaperAbstract
myreview-evaluation,Revue du document d'évaluation
myreview-externalreviewer,ExternalReviewer Some CooperatesReviewer Reviewer Person Reviewer
myreview-externalreviewerslist,ExternalReviewersList OutputDocument
myreview-fee,Frais
myreview-indexofauthors,Indexofautors OutputDocument
myreview-listofabstracts,Listofabsacts OutputDocument
myreview-outputdocument,OutputDocument Thing Certains sont produits par chaise PCMemberslist Bookletofabstracts CD-ROM Proceedings Program ExternalReviewersList IndexofAutors Listofabstracts Président
myreview-pcmemberslist,PCMemberslist OutputDocument
myreview-paper,Papier un auteur PaperIsUbmitetedBy exactement 1 de Hasabstract exactement 1 de Hasmaintopic exactement 1 de HasId documente un auteur de Hasauthor exactement 1 de Hastitle RejectPaper PaperAbstrAt Author Researchtopic Polerstatus Chair Review Reviewer
myreview-paperabstract,PaperAbStract Document Certains AbstralStissUbmitedBy ContactAuthor ContactAuthor Paper
myreview-paperquestion,Question sur papier
myreview-paperstatus,Papier Paperstatus
myreview-paymentmode,Mode de paiement
myreview-person,Personne exactement 1 de HasFirstname exactement 1 de HaslastName Thing exactement 1 de Hasaffiliation ConferenceAttendant ProgramcomMitteember ExternalRewerwer Auteur
myreview-proceedings,Procédures Certaines incluent IndexofAutors OutputDocument.
myreview-program,Programme OutputDocument
myreview-programcommittee,Programme comitté THOSE Quelque chose Hasmmember préside un peu d'administrateur Hasmmember CommunteeMember
myreview-programcommitteemember,ProgramcomMitTeem le 1er exactement du programme de président de la personne Hasemail REPHERCIER COMMENTATION COMMISSION
myreview-question,Question sur le document Question sur la question
myreview-rejectedpaper,Rejeté Papier de la chaise IsRejectEdBy Certains Isratedby Review ont rejeter la valeur pour Hasstatus
myreview-researchtopic,Sujet de recherche quelqu'un est affecté par l'administrateur
myreview-review,Examiner le document exactement 1 des taux exactement 1 de contenu
myreview-reviewquestion,Question de revue
myreview-reviewer,Programme de réviseur CommitTemember Papier externalreviewer ResearchTopic Review
myreview-session,Session exactement 1 de l'isassociatedo thing accepté la machine à sous en papier
myreview-slot,Machine à sous exactement 1 de la date exactement 1 des débutants exactement 1 de la session de la conférence de la conférence Endsat Thing
myreview-thing,Thing Session ConferenceProgram Person OutproutDocument Research Criterion Criterion Program Communitee Slot Conference
sigkdd-acm_sigkdd,ACM SIGKDD SUIT DÉMELLE DE CONCEPTION Quel
sigkdd-abstract,Document abstrait
sigkdd-author,Auteur une notification jusqu'à la date limite d'auteur Notification Conférencier Auteur de Paper Auteur de Paper Student Deadline Auteur Notification Awtifice Prix Paper
sigkdd-author_of_paper,Auteur de Paper Author Some Award Best Research Paper Award Some Award Best Applications Paper Award
sigkdd-author_of_paper_student,Auteur de Paper Student Some Award Best Student Paper Award Auteur
sigkdd-award,Prix ​​Meilleur papier étudiant prix Meilleur papier de recherche Prix du papier pour meilleures applications
sigkdd-best_applications_paper_award,Prix ​​du prix de la meilleure application du papier
sigkdd-best_paper_awards_committee,Meilleur comité de récompense de papier
sigkdd-best_research_paper_award,Meilleur prix de recherche sur le prix de recherche
sigkdd-best_student_paper_award,Meilleur prix de papier étudiant
sigkdd-best_student_paper_supporter,Meilleur partisan du papier étudiant Sponzor
sigkdd-bronze_supporter,Supporter de bronze Sponzor
sigkdd-committee,Comité du comité du comité du comité des prix du comité du comité de récompense du comité
sigkdd-conference,Conférence ACM SIGKDD
sigkdd-conference_hall,Place de la salle de conférence
sigkdd-deadline,Date limite de la date limite de la date limite de la date limite de la date limite de la date limite du papier Date limite de soumission abstraite ACM SIGKDD
sigkdd-deadline_abstract_submission,Date limite de soumission abstraite date limite
sigkdd-deadline_author_notification,Date limite de la date limite de la date limite
sigkdd-deadline_paper_submission,Date limite de soumission du papier date limite
sigkdd-document,Document review document abstrait le haut-parleur date limite
sigkdd-exhibitor,Exposant Sponzor
sigkdd-fee,Frais d'inscription des frais Sponzor Frais
sigkdd-general_chair,Organisation de chaire générale
sigkdd-gold_supporter,Sponzor du partisan de l'or
sigkdd-hotel,Lieu de l'hôtel
sigkdd-invited_speaker,Président invité
sigkdd-listener,Auditeur
sigkdd-main_office,Lieu de bureau principal
sigkdd-organizator,Organisation du programme Personne présidente présidente du comité de programme Webmaster membre d'organisation membre du comité d'organisation
sigkdd-organizing_committee,Comité d'organisation du comité
sigkdd-organizing_committee_member,Organisation des membres du comité
sigkdd-paper,Document papier
sigkdd-person,Person Thing  certains peuvent rester dans l'auditeur de l'hôtel conférencier Organisation de la place des frais d'inscription
sigkdd-place,Place Hotel Main Office Conference Hall
sigkdd-platinum_supporter,Sponzor du support de platine
sigkdd-program_chair,Organisation du président du programme
sigkdd-program_committee,Comité de programme
sigkdd-program_committee_member,Organisation des membres du comité du programme
sigkdd-registration_non-member,Enregistrement des frais d'enregistrement non membres
sigkdd-registration_sigkdd_member,Inscription Frais d'enregistrement des membres SIGKDD
sigkdd-registration_sigmod_member,Inscription Frais d'enregistrement des membres SIGMOD
sigkdd-registration_student,Frais d'inscription des étudiants en inscription
sigkdd-registration_fee,Inscription aux frais Inscription Étudiant Inscription des membres SIGMOD INSTRUCTION DE LA SIGMOD
sigkdd-review,Examen du document
sigkdd-silver_supporter,Sponzor en argent
sigkdd-speaker,PERSONNE PERSONNE AUTEUR DOCUMENT DE PRÉSTENDE AVITE
sigkdd-sponzor,Sponzor Bronze Supporter Exposoir meilleur étudiant supporter de papier Platine Supporter Silver Supporter Gold Supporter ACM SIGKDD
sigkdd-sponzor_fee,Frais de Sponzor
sigkdd-webmaster,Organisateur de webmaster
sigkdd-thing,Chose personne acm sigkdd
linklings-abstract,Contenu abstrait
linklings-acceptedsubmission,Absencement
linklings-adminregistered,Administré exactement 1 de l'iscriptions par un rôle inscrit de son insuffisance
linklings-administrator,Administrateur Quelque rôle de colocatrie de setset
linklings-applicant,Rôle du demandeur Une application d'isroleinvolvedin
linklings-application,Application Soumission Type d'un demandeur de Hasroleinbolved
linklings-author,Rôle de l'auteur Un document Isroleinvolvedin
linklings-basicuser,BasicUser un rôle auto-enregistré hastersonsigned
linklings-conference,Événement de la conférence Un peu de Hastheme of Type XSD: String quelques conférences Hassession
linklings-conferencesession,Conférences
linklings-content,Contenu uniquement HascontentType ContentType Some HascontentType ContentType Résumé FullText
linklings-contenttype,Contenu
linklings-event,Événement Some Hasplace Place une conférence HastimeInterval TimeInterval Session
linklings-fulltext,Contenu en texte complet
linklings-panel,Panneau Soupmission de panéliste de sroleinbolved
linklings-panelmoderator,Rôle de PanelModerator Some Isroleinvolvedin Panel
linklings-panelist,Rôle du panéliste Un panneau d'isroleinvelvedin
linklings-paper,Papier un auteur de soumission de l'auteur de la sroleinbolved
linklings-person,Personne Some Hassurename de Type XSD: String Some HasFirstName de Type XSD: String Some Hasaddress of Type XSD: String non enregistré
linklings-place,Placer exactement 1 de la salle Hasaddress
linklings-registeredperson,Personne inscrite Administration enregistrée auto-inscrite
linklings-rejectedsubmission,Soumission rejetée
linklings-reviewer,Critique
linklings-role,Rôle Certains ont été administrés par l'administrateur de la gasset
linklings-rolesettings,Paramètres de colocat
linklings-room,Salle Exactement 1 de Hascapacity exactement 1 de HasLength Someroomname de Type XSD: String exactement 1 de Haswidth exactement 1 de Hasheight Place
linklings-selfregistered,Auto-inscrit à un Hasrole BasicUser exactement 1 de l'enregistrement ISCister par
linklings-session,Événement de session
linklings-sessionchair,SessionChair Un rôle de conférences-conférences-disgramme
linklings-settings,Paramètres SoumissionFeaturesSettings
linklings-submission,Soumission exactement 1 de HassubmissionType un peu de tronçon de type XSD: String un contenu de hascontent
linklings-submissionfeaturesettings,Soumissionfeaturessetings Certains paramètres de soumission de soumission
linklings-submissionstatus,SoumissionStatus Quelques émissions de soumission de soumission unique
linklings-submissiontype,Soumission Type de la soumission de soumission de soumission Papier de panneau d'application
linklings-timeinterval,TimeInterval exactement 1 de Hasstartdate exactement 1 de HasendDate
linklings-undecidedsubmission,Soumission indécise
linklings-unregisteredperson,Personne non enregistrée personne exactement 1 des registres
pcs-accepted_paper,Revue externe en papier accepté ou réviseur secondaire
pcs-administrator,Administrateur Some Génération Rapport Un e-mail Envoyer un e-mail Some Generate Electronic Proceding Person Procédure électronique ou rapport Email
pcs-author,Auteur Some Write Paper ConferenceMembember Paper
pcs-cd,Procédure électronique du CD
pcs-committeemember,Comité du comité conférentiel du réviseur du secondaire Primor Review Document
pcs-conference,Conférence de conférence ConferenceMember
pcs-conferencemember,Conférence de conférences de la personne du comité des auteurs
pcs-document,Personne du journal de révision des documents
pcs-electronic_proceeding,Site Web de CD de procédure électronique
pcs-email,Administrateur d'informations sur l'invitation par e-mail
pcs-external_reviewer,Personne externe Personne Some Writing Review
pcs-information,Courriel d'information
pcs-invitation,E-mail d'invitation
pcs-person,Person Thing certains obtiennent l'administrateur d'information ConferenceMember Document du système de messagerie examinateur externe
pcs-paper,Document papier accepté Paper Rejeté Comité du comité du comité
pcs-primary_reviewer,Réviseur principal certains acceptent le document Some Assigne Review Review CoumitteeMembe REVUE
pcs-programme,Conférence de programme
pcs-rejected_paper,Papier rejeté en papier
pcs-report,Rapport
pcs-review,Revoir le document réviseur principal réviseur externe ou réviseur secondaire
pcs-secondary_reviewer,Comité du réviseur secondaire REVIS SUR LA RÉVISION ÉCRIRE
pcs-system,Système
pcs-web_site,Procédure électronique du site Web
pcs-thing,Chose personne
paperdyne-abstract,Fichier de contribution abstrait
paperdyne-abstract_and_paper_submission_phase,Résumé et la phase de soumission du papier phase de conférence
paperdyne-assignment_phase,Affectation phase phaseofConferencePreparation a une valeur fausse pour perteuploadcrc a une valeur fausse pour pertereView a une valeur fausse pour permis usitpaper a une valeur fausse pour pertegister a la valeur false pour perte
paperdyne-author,Auteur Some Create Contribution Person Selon le document au moins 0 de la contribution du co-auteur de Speaks
paperdyne-bidding_and_paper_submission_phase,Les enchères et la phase de soumission du papier ont une valeur vraie pour la phase d'appel d'offres permis d'autorisation
paperdyne-bidding_phase,Phase d'appel
paperdyne-bidding_without_paper_submission_phase,Les enchères sans phase de soumission de papier ont une valeur fausse pour la phase d'appel d'offres permis d'autorisation
paperdyne-blocked_phase,La phase bloquée a une valeur fausse pour allowbid a une valeur fausse pour pertegister a la valeur fausse pour perteuploadcrc a une valeur fausse pour permetsUmitpaper phaseofconferencePreparation a la valeur false pour allowRiew
paperdyne-camera_ready_copy,Fichier de contribution de copie de l'appareil photo
paperdyne-camera_ready_copy_phase,La phase de copie prêt à la caméra a une valeur fausse pour pertegister a une valeur fausse pour permis uitumi phaseofconferencePreparation a une valeur fausse pour pertewiew a la valeur false pour allowbid
paperdyne-closed_phase,La phase fermée a une valeur fausse pour permis usimit a valeur false pour pertegister phaseofconferencePreparation a une valeur fausse pour pertewiew a la valeur false pour allowbid a une valeur fausse pour perteuploadcrc
paperdyne-co-author,Co-auteur de l'auteur certains coaudits avec co-auteur ou principal auteur au moins 1 de coautheurs avec
paperdyne-conference,Conférence uniquement organisée par le comité de programme Traite Chose du programme de programme Président du comité de programme Lieu
paperdyne-confirmed_conflict,Conflit confirmé uniquement visibleBy examinateur certains rapportent des conflits d'intérêts sur papier.
paperdyne-conflict_of_interest,Conflit d'intérêts uniquement géré par des règles de conflit
paperdyne-conflict_rules,Les règles de conflit ne gèrent que le conflit d'intérêts
paperdyne-contribution,Contribution Un auteur créé par un sujet de couverture
paperdyne-contribution_file,Fichier de contribution Certains soumis par auteur Contribution Affiche abstraite Pièces de la caméra Ready Copy Paper File Source Archive
paperdyne-deleted_conflict,Le conflit supprimé le conflit d'intérêts ne concerne pas le document BlockAssigningToreViewer
paperdyne-discussion,Discussion
paperdyne-e-mail_pc_meeting,La réunion de PC par e-mail a une valeur vraie pour la réunion du comité de programme virtuel
paperdyne-hidden_conflict,Le conflit caché ne concerne pas le document BlockAssigningToreViewer proposé uniquement par le président du programme Comité Conflit d'intérêts
paperdyne-invitation_of_reviewers_phase,Invitation des examinateurs Phase de phase de conférence
paperdyne-location,Emplacement
paperdyne-mainauthor,Auteur MainAuthor Certains soumettent le dossier de contribution au moins 0 des vues uniquement les vues proposées au moins 0 de coaudits avec au moins 0 de la propose  certains proposent un conflit proposé seulement des coaudits avec co-auteur
paperdyne-pc_meeting,La réunion du comité du programme de réunion de réunion PC a une valeur fausse pour est virtuel
paperdyne-paper,Contribution du papier au moins 0 de Isinconflict avec seulement Speaker par Speaking Speaker Certains IsinConflict avec le programme de réviseur Comité PROGRAMME PROGRAMME COMITÉ COMITÉ COMIT
paperdyne-paper_file,Fichier de contribution du fichier papier
paperdyne-pending_proposed_conflict,En attente de conflit proposé uniquement visible par un conflit d'intérêts sur le revêtement de BlockAssigningToreViewer examinateur
paperdyne-person,Persant Président du programme Comité Président auteur
paperdyne-phaseofconferencepreparation,PhaseofconferencePreparation Phase de soumission Fermé phase Résumé et la phase de soumission de la phase de soumission Papier Prêt de la phase de phase de phase de phase de phase de phase de phase de phase de phase de phase de phase de phase de phase de phase des examinateurs
paperdyne-poster,Fichier de contribution de l'affiche
paperdyne-program_comitee,Programme comitee Thing Some Hasmembers Program Committee présidente certains membres du hachage Japer
paperdyne-program_comitee_chair,Programme comitee président Certains membres du programme comitee Certains organisent le programme comitee rencontrant certaines organisations de la conférence au moins 0 de vues quelques vues Conflit d'intérêts
paperdyne-program_comitee_meeting,Réunion du comité de programme Certains contient une discussion uniquement se déroule la réunion de la réunion du PC
paperdyne-proposed_conflict,Conflit proposé Certains blockAssigningToreViewer Paper Conflit d'intérêts
paperdyne-review,Revoir un document CreatedBy Reviewer Thing Some Japer
paperdyne-review_phase,La phase de révision a une valeur fausse pour pertebibid phaseofConferencePreparation a la valeur fausse pour permettre que la sous-papier a une valeur fausse pour pertegister
paperdyne-reviewer,Examinateur Au moins 0 des vues  certains Isinconflict avec un article n'ont fait que ConflictType confirmé un conflit ou un conflit proposé en attente au moins 0 de Isinconflict avec certains soumises la personne à la personne dans un membre du programme Comité au moins 0 de HasconflictType
paperdyne-self_conflict,Auto-conflit uniquement visible par mainauteur et réviseur certains blockAssigningToreViewer Paper Conflict of Intérêts
paperdyne-setup_phase,La phase de configuration a une valeur fausse pour allowbid phaseofConferencePreparation a une valeur fausse pour pertegister a la valeur fausse pour perteuploadcrc a une valeur fausse pour pertewiew a la valeur false pour permisubmitpaper
paperdyne-slides,Fichier de contribution des diapositives
paperdyne-source_archive,Fichier de contribution des archives source
paperdyne-speaker,Personnelle au moins 1 de la parole du papier parle
