file,concept1,concept2,value
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-18-1,paragraph2sentence.test-CQA-18-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-19-1,paragraph2sentence.test-CQA-19-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-20-1,paragraph2sentence.test-CQA-20-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-21-1,paragraph2sentence.test-CQA-21-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-22-1,paragraph2sentence.test-CQA-22-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-23-1,paragraph2sentence.test-CQA-23-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-24-1,paragraph2sentence.test-CQA-24-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-25-1,paragraph2sentence.test-CQA-25-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-26-1,paragraph2sentence.test-CQA-26-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-27-1,paragraph2sentence.test-CQA-27-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-28-1,paragraph2sentence.test-CQA-28-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-29-1,paragraph2sentence.test-CQA-29-2,3.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-30-1,paragraph2sentence.test-CQA-30-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-31-1,paragraph2sentence.test-CQA-31-2,0.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-32-1,paragraph2sentence.test-CQA-32-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-33-1,paragraph2sentence.test-CQA-33-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-34-1,paragraph2sentence.test-CQA-34-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-35-1,paragraph2sentence.test-CQA-35-2,3.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-36-1,paragraph2sentence.test-CQA-36-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-37-1,paragraph2sentence.test-CQA-37-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-38-1,paragraph2sentence.test-CQA-38-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-39-1,paragraph2sentence.test-CQA-39-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-40-1,paragraph2sentence.test-CQA-40-2,2.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-41-1,paragraph2sentence.test-CQA-41-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-42-1,paragraph2sentence.test-CQA-42-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-43-1,paragraph2sentence.test-CQA-43-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-44-1,paragraph2sentence.test-CQA-44-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-45-1,paragraph2sentence.test-CQA-45-2,0.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-46-1,paragraph2sentence.test-CQA-46-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-47-1,paragraph2sentence.test-CQA-47-2,3.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-48-1,paragraph2sentence.test-CQA-48-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-49-1,paragraph2sentence.test-CQA-49-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-50-1,paragraph2sentence.test-CQA-50-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-51-1,paragraph2sentence.test-CQA-51-2,3.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-52-1,paragraph2sentence.test-CQA-52-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-53-1,paragraph2sentence.test-CQA-53-2,0.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-54-1,paragraph2sentence.test-CQA-54-2,0.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-55-1,paragraph2sentence.test-CQA-55-2,0.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-56-1,paragraph2sentence.test-CQA-56-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-57-1,paragraph2sentence.test-CQA-57-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-58-1,paragraph2sentence.test-CQA-58-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-59-1,paragraph2sentence.test-CQA-59-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-60-1,paragraph2sentence.test-CQA-60-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-61-1,paragraph2sentence.test-CQA-61-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-62-1,paragraph2sentence.test-CQA-62-2,2.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-63-1,paragraph2sentence.test-CQA-63-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-64-1,paragraph2sentence.test-CQA-64-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-65-1,paragraph2sentence.test-CQA-65-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-66-1,paragraph2sentence.test-CQA-66-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-67-1,paragraph2sentence.test-CQA-67-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-68-1,paragraph2sentence.test-CQA-68-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-69-1,paragraph2sentence.test-CQA-69-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-70-1,paragraph2sentence.test-CQA-70-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-CQA-71-1,paragraph2sentence.test-CQA-71-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-72-1,paragraph2sentence.test-Metaphoric-72-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-73-1,paragraph2sentence.test-Metaphoric-73-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-74-1,paragraph2sentence.test-Metaphoric-74-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-75-1,paragraph2sentence.test-Metaphoric-75-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-76-1,paragraph2sentence.test-Metaphoric-76-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-77-1,paragraph2sentence.test-Metaphoric-77-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-78-1,paragraph2sentence.test-Metaphoric-78-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-79-1,paragraph2sentence.test-Metaphoric-79-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-80-1,paragraph2sentence.test-Metaphoric-80-2,0.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-81-1,paragraph2sentence.test-Metaphoric-81-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-82-1,paragraph2sentence.test-Metaphoric-82-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-83-1,paragraph2sentence.test-Metaphoric-83-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-84-1,paragraph2sentence.test-Metaphoric-84-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-85-1,paragraph2sentence.test-Metaphoric-85-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-86-1,paragraph2sentence.test-Metaphoric-86-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-87-1,paragraph2sentence.test-Metaphoric-87-2,0.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-88-1,paragraph2sentence.test-Metaphoric-88-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-89-1,paragraph2sentence.test-Metaphoric-89-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-90-1,paragraph2sentence.test-Metaphoric-90-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-91-1,paragraph2sentence.test-Metaphoric-91-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-92-1,paragraph2sentence.test-Metaphoric-92-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-93-1,paragraph2sentence.test-Metaphoric-93-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-94-1,paragraph2sentence.test-Metaphoric-94-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-95-1,paragraph2sentence.test-Metaphoric-95-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-96-1,paragraph2sentence.test-Metaphoric-96-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Metaphoric-97-1,paragraph2sentence.test-Metaphoric-97-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-98-1,paragraph2sentence.test-Review-98-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-99-1,paragraph2sentence.test-Review-99-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-100-1,paragraph2sentence.test-Review-100-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-101-1,paragraph2sentence.test-Review-101-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-102-1,paragraph2sentence.test-Review-102-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-103-1,paragraph2sentence.test-Review-103-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-104-1,paragraph2sentence.test-Review-104-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-105-1,paragraph2sentence.test-Review-105-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-106-1,paragraph2sentence.test-Review-106-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-107-1,paragraph2sentence.test-Review-107-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-108-1,paragraph2sentence.test-Review-108-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-109-1,paragraph2sentence.test-Review-109-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-110-1,paragraph2sentence.test-Review-110-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-111-1,paragraph2sentence.test-Review-111-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-112-1,paragraph2sentence.test-Review-112-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-113-1,paragraph2sentence.test-Review-113-2,1.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-114-1,paragraph2sentence.test-Review-114-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-115-1,paragraph2sentence.test-Review-115-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-116-1,paragraph2sentence.test-Review-116-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-117-1,paragraph2sentence.test-Review-117-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-118-1,paragraph2sentence.test-Review-118-2,0.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-119-1,paragraph2sentence.test-Review-119-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-120-1,paragraph2sentence.test-Review-120-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-121-1,paragraph2sentence.test-Review-121-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-122-1,paragraph2sentence.test-Review-122-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-123-1,paragraph2sentence.test-Review-123-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-124-1,paragraph2sentence.test-Review-124-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-125-1,paragraph2sentence.test-Review-125-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-126-1,paragraph2sentence.test-Review-126-2,2.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-127-1,paragraph2sentence.test-Review-127-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-128-1,paragraph2sentence.test-Review-128-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-129-1,paragraph2sentence.test-Review-129-2,0.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-130-1,paragraph2sentence.test-Review-130-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-131-1,paragraph2sentence.test-Review-131-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-132-1,paragraph2sentence.test-Review-132-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-133-1,paragraph2sentence.test-Review-133-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-134-1,paragraph2sentence.test-Review-134-2,0.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-135-1,paragraph2sentence.test-Review-135-2,0.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-136-1,paragraph2sentence.test-Review-136-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-137-1,paragraph2sentence.test-Review-137-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-138-1,paragraph2sentence.test-Review-138-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-139-1,paragraph2sentence.test-Review-139-2,4.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-140-1,paragraph2sentence.test-Review-140-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-141-1,paragraph2sentence.test-Review-141-2,3.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-142-1,paragraph2sentence.test-Review-142-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-143-1,paragraph2sentence.test-Review-143-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-144-1,paragraph2sentence.test-Review-144-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-145-1,paragraph2sentence.test-Review-145-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-146-1,paragraph2sentence.test-Review-146-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-147-1,paragraph2sentence.test-Review-147-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-148-1,paragraph2sentence.test-Review-148-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-149-1,paragraph2sentence.test-Review-149-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-150-1,paragraph2sentence.test-Review-150-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-151-1,paragraph2sentence.test-Review-151-2,0.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-152-1,paragraph2sentence.test-Review-152-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-153-1,paragraph2sentence.test-Review-153-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-154-1,paragraph2sentence.test-Review-154-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-155-1,paragraph2sentence.test-Review-155-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-156-1,paragraph2sentence.test-Review-156-2,0.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-157-1,paragraph2sentence.test-Review-157-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-158-1,paragraph2sentence.test-Review-158-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-159-1,paragraph2sentence.test-Review-159-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-160-1,paragraph2sentence.test-Review-160-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-161-1,paragraph2sentence.test-Review-161-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-162-1,paragraph2sentence.test-Review-162-2,2.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-163-1,paragraph2sentence.test-Review-163-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-164-1,paragraph2sentence.test-Review-164-2,0.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-165-1,paragraph2sentence.test-Review-165-2,1.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-166-1,paragraph2sentence.test-Review-166-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-167-1,paragraph2sentence.test-Review-167-2,2.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-168-1,paragraph2sentence.test-Review-168-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-169-1,paragraph2sentence.test-Review-169-2,3.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-170-1,paragraph2sentence.test-Review-170-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-171-1,paragraph2sentence.test-Review-171-2,0.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-172-1,paragraph2sentence.test-Review-172-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-173-1,paragraph2sentence.test-Review-173-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-174-1,paragraph2sentence.test-Review-174-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-175-1,paragraph2sentence.test-Review-175-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-176-1,paragraph2sentence.test-Review-176-2,3.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-177-1,paragraph2sentence.test-Review-177-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-178-1,paragraph2sentence.test-Review-178-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-179-1,paragraph2sentence.test-Review-179-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-180-1,paragraph2sentence.test-Review-180-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-181-1,paragraph2sentence.test-Review-181-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-182-1,paragraph2sentence.test-Review-182-2,2.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-183-1,paragraph2sentence.test-Review-183-2,1.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-184-1,paragraph2sentence.test-Review-184-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-185-1,paragraph2sentence.test-Review-185-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-186-1,paragraph2sentence.test-Review-186-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-187-1,paragraph2sentence.test-Review-187-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-188-1,paragraph2sentence.test-Review-188-2,2.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-189-1,paragraph2sentence.test-Review-189-2,1.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-190-1,paragraph2sentence.test-Review-190-2,3.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-191-1,paragraph2sentence.test-Review-191-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-192-1,paragraph2sentence.test-Review-192-2,0.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-193-1,paragraph2sentence.test-Review-193-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-194-1,paragraph2sentence.test-Review-194-2,1.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-195-1,paragraph2sentence.test-Review-195-2,1.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-196-1,paragraph2sentence.test-Review-196-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Review-197-1,paragraph2sentence.test-Review-197-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-198-1,paragraph2sentence.test-Travel-198-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-199-1,paragraph2sentence.test-Travel-199-2,0.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-200-1,paragraph2sentence.test-Travel-200-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-201-1,paragraph2sentence.test-Travel-201-2,1.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-202-1,paragraph2sentence.test-Travel-202-2,3.13
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-203-1,paragraph2sentence.test-Travel-203-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-204-1,paragraph2sentence.test-Travel-204-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-205-1,paragraph2sentence.test-Travel-205-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-206-1,paragraph2sentence.test-Travel-206-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-207-1,paragraph2sentence.test-Travel-207-2,1.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-208-1,paragraph2sentence.test-Travel-208-2,1.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-209-1,paragraph2sentence.test-Travel-209-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-210-1,paragraph2sentence.test-Travel-210-2,0.63
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-211-1,paragraph2sentence.test-Travel-211-2,2.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-212-1,paragraph2sentence.test-Travel-212-2,1.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-213-1,paragraph2sentence.test-Travel-213-2,2.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-214-1,paragraph2sentence.test-Travel-214-2,0.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-215-1,paragraph2sentence.test-Travel-215-2,0.88
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-216-1,paragraph2sentence.test-Travel-216-2,1.75
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-217-1,paragraph2sentence.test-Travel-217-2,0.00
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-218-1,paragraph2sentence.test-Travel-218-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-219-1,paragraph2sentence.test-Travel-219-2,3.38
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-220-1,paragraph2sentence.test-Travel-220-2,2.50
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-221-1,paragraph2sentence.test-Travel-221-2,2.25
data/test/paragraph2sentence.test.input.tsv,paragraph2sentence.test-Travel-222-1,paragraph2sentence.test-Travel-222-2,2.25
