concept,prompt
edas-socialevent,社交活动非学术活动接待
edas-sponsorship,赞助旅行社组织
edas-tpcmember,TPCMEMBER人
edas-talkevent,Talkevent Academicevent welcometalk closingTalk
edas-testonlytopic,testonlytopic主题
edas-textualreviewquestion,TextualReviewQuestion评论问题
edas-topic,Topic MobileComputingTopic WirelessCommunicationsTopic SatelliteAndSpaceCommunicationsTopic SignalProcessingTopic PowerlineTransmissionTopic TestOnlyTopic MedicineTopic RadioCommunicationsTopic CommunicationsTopic MicroelectronicsTopic PerformanceTopic ComputerArchitectureTopic CADTopic SecurityTopic ComputerNetworksTopic OperatingTopicsystems通信Theytopic密码学topicratipic Antenastopic Paralleland -DistribudedComputingTopic多室外会议或论文
edas-travelgrant,TravelGrant赞助
edas-twolevelconference,TwolevelConference
edas-weekrejectrating,每周回顾审查
edas-welcometalk,welcometalk talkevent
edas-wirelesscommunicationstopic,无线通信主题
edas-withdrawnpaper,撤回纸
edas-workshop,研讨会学院
edas-thing,事情会议
conference-abstract,抽象的扩展抽象论文或海报或演示文稿
conference-accepted_contribution,公认的贡献审查了贡献摄像机现成的贡献
conference-active_conference_participant,主动会议参与者会议撰稿人会议参与者邀请演讲者或定期作者演讲
conference-call_for_paper,致电纸质会议文件
conference-call_for_participation,呼吁参加会议文件
conference-camera_ready_contribution,相机准备贡献接受了贡献
conference-chair,委员会主席
conference-co-chair,联合主席委员会委员会
conference-committee,委员会组织委员会指导委员会计划委员会主席联席主席委员会会员会议批量
conference-committee_member,委员会成员联席主席委员会
conference-conference,会议卷
conference-conference_announcement,会议公告会议文件
conference-conference_applicant,会议申请人注册申请人
conference-conference_contribution,会议贡献会议文件书面贡献海报演示会议卷
conference-conference_contributor,会议撰稿人常规作家主动会议参与者邀请演讲者
conference-conference_document,会议文件审核参与者会议贡献会议会议会议www会议公告呼吁参与纸质人
conference-conference_fees,会议费
conference-conference_part,会议部分轨道教程研讨会轨道工作坊主题主题会议卷
conference-conference_participant,会议参与者被动会议参与者主动会议参与者
conference-conference_proceedings,会议记录出版商
conference-conference_volume,会议卷会议委员会计划委员会指导委员会组织委员会会议贡献重要日期会议部分跟踪教程研讨会
conference-conference_www,会议www会议文件
conference-contribution_1th-author,贡献第一名作者常规作者
conference-contribution_co-author,贡献合着者定期作者
conference-early_paid_applicant,提早付费申请人付费申请人
conference-extended_abstract,扩展抽象的常规贡献摘要
conference-important_dates,重要日期会议卷
conference-information_for_participants,参与者会议文件的信息
conference-invited_speaker,邀请演讲者会议贡献者
conference-invited_talk,邀请的谈话演示
conference-late_paid_applicant,延迟付费申请人付费申请人
conference-organization,组织
conference-organizer,组织者事物委员会成员或组织
conference-organizing_committee,组织委员会会议卷
conference-paid_applicant,付费申请人注册申请人提早付费申请人迟来付费申请人
conference-paper,纸的定期贡献
conference-passive_conference_participant,被动会议参与者会议参与者
conference-person,参加人会议申请人赛道工作家主席会议捐助者委员会成员审阅者会议参与者会议文件
conference-poster,海报会议贡献
conference-presentation,演示会议贡献邀请谈话主动会议参与者
conference-program_committee,计划委员会会议卷
conference-publisher,出版商会议记录
conference-registeered_applicant,注册申请人会议申请人付费申请人
conference-regular_author,定期作者会议贡献者贡献合着者贡献第一名
conference-regular_contribution,定期贡献书面贡献扩展抽象论文
conference-rejected_contribution,拒绝贡献审查的贡献
conference-review,审核会议文件只有作者审核者审查贡献
conference-review_expertise,评论专业知识的某些提交捐款提交的捐款有些属于审稿人提交的捐款
conference-review_preference,评论偏好有些有主题或提交捐款提交捐款或主题的事物，有些属于审稿人审稿人提交了贡献或主题
conference-reviewed_contribution,审查捐款提交的捐款拒绝供款接受供款审查
conference-reviewer,审阅者审查专业知识或审查偏好审核者
conference-steering_committee,指导委员会会议卷
conference-submitted_contribution,提交的捐款书面贡献海报或常规贡献审查贡献审查审查专业知识
conference-topic,主题审查偏好会议部分
conference-track,轨道会议部分
conference-track-workshop_chair,田径工作工厂主席会议部分
conference-tutorial,教程会议部分
conference-workshop,研讨会会议部分
conference-written_contribution,书面贡献会议捐款海报或定期捐款定期捐款提交捐款
conference-thing,事情组织者评论专业知识审查偏好
myreview-acceptedpaper,接受纸一些椅子纸纸的录取的纸张有价值接受一些审查会话
myreview-administrator,管理员programCommittembermember标准或Paperstatus或问题或研究主题
myreview-author,作者联系人作者纸
myreview-bookletofabstracts,bookletofabstracts outputdocument
myreview-cd-rom,CD-ROM输出图
myreview-chair,主席conmagmittembermember纸审稿人会话outputdocument Document费用或付款模式
myreview-conference,会议恰好是hasname的1恰好是hasemail的1个恰好是hasAcrony的1件事
myreview-conferenceattendant,恰好有1个hasphone的人的会议人员对付费的1个hasadress的价值为真，
myreview-conferenceprogram,会议编程恰好是插槽会议的1
myreview-contactauthor,Contactauthor作者正好是Hasemail Paperabstract的1
myreview-criterion,标准恰好是一项重量
myreview-document,文档paperabtrattrats评估审查论文
myreview-evaluation,评估文件审查
myreview-externalreviewer,外部浏览器人员一些CooperateRateReviewer审稿人审稿人
myreview-externalreviewerslist,外部reviewerslist outputDocument
myreview-fee,费用
myreview-indexofauthors,IndexoFauthors outputDocument
myreview-listofabstracts,ListOfabstracts outputdocument
myreview-outputdocument,outputDocument某些椅子的事物indexofauthors insuperReviewersList pcmemberslist bookletofabstracts会议程序cd-rom listofabstracts椅子
myreview-pcmemberslist,PCMEMBERSLIST OUTPUTDOCUMENT
myreview-paper,论文某些Husauthor作者文件恰好是hasabtract的1个恰好的1个恰好是hasmaintopic的1恰好是Hastitle的1个恰好是Hasid的1 papersiSsubsubsubsibled Papersibsubledpaper拒绝纸纸abtratter paperabtrats作者研究塔普尔斯塔图斯董事会主席评论者评论者
myreview-paperabstract,PaperAbtrats文档通过ContactAuthor Contactauthor Paper的一些摘要摘要
myreview-paperquestion,纸问题
myreview-paperstatus,Paperstatus纸
myreview-paymentmode,付款模式
myreview-person,恰好是haslastname的1个恰好是Hasfirstname externalReviewer conferenCeatTendant programmitteembermementemberementemberemerementemberemerementemberemberementemberemem
myreview-proceedings,程序一些包括PCMEMBERSLIST的某些包括接受的paper outputdocument的某些包括externalReviewerSlist list liste insuce indexofauthors acccampedpaper或externalReviewersList或indexofauthors或pcmemberslist
myreview-program,程序输出图
myreview-programcommittee,程序员一些Hasmember椅子某些hasmember管理员programmitteembember
myreview-programcommitteemember,ProgramCommittembermErbember正好是Hasemail Person Review Eright主席管理员计划委员会的1个
myreview-question,问题纸问题评论问题
myreview-rejectedpaper,拒绝的纸一些主持人的拒绝的椅子对hasstatus纸的价值拒绝了一些被列为评论
myreview-researchtopic,研究主题的事情有人由管理员分配
myreview-review,精确的1个包含分摊的1恰好的1个费率的1个Iswritenby审稿人文档评估审稿人纸
myreview-reviewquestion,评论问题
myreview-reviewer,审阅者programmittembermember纸外部浏览器研究台面评论
myreview-session,恰好是Issypied to Thing Thing thing Paper椅子插槽的会话。
myreview-slot,恰好日期的1个恰好的1端1恰好是1 beginsat ConferenceProgram会话的1
myreview-thing,Thing Thing outputDocument程序委员会人士标准会议计划研究插槽会议会议会议会议
sigkdd-acm_sigkdd,ACM sigkdd某些设计截止日期，一些举行会议一些搜索Sponzor截止日期会议Sponzor
sigkdd-abstract,抽象文档
sigkdd-author,作者发言人一些通知，直到截止日期的作者通知作者纸纸截止日期截止日期作者作者通知奖纸
sigkdd-author_of_paper,作者一些奖项奖最佳研究论文奖的作者一些奖项奖最佳应用论文奖作者
sigkdd-author_of_paper_student,纸学生作者的作者一些奖项最佳学生纸奖
sigkdd-award,奖奖最佳学生纸奖最佳应用程序纸张奖最佳研究论文奖
sigkdd-best_applications_paper_award,最佳应用纸奖
sigkdd-best_paper_awards_committee,最佳纸质奖委员会委员会
sigkdd-best_research_paper_award,最佳研究论文奖
sigkdd-best_student_paper_award,最佳学生纸奖
sigkdd-best_student_paper_supporter,最好的学生纸支持者Sponzor
sigkdd-bronze_supporter,青铜支持者Sponzor
sigkdd-committee,委员会委员会最佳纸质奖委员会组织委员会
sigkdd-conference,会议ACM sigkdd
sigkdd-conference_hall,会议厅的地方
sigkdd-deadline,截止截止日期提交截止日期抽象提交截止日期截止日期作者通知ACM SIGKDD
sigkdd-deadline_abstract_submission,截止日期抽象提交截止日期
sigkdd-deadline_author_notification,截止日期作者通知截止日期
sigkdd-deadline_paper_submission,截止日期提交截止日期
sigkdd-document,文档评论摘要纸张扬声器截止日期
sigkdd-exhibitor,参展商Sponzor
sigkdd-fee,费用注册费用Sponzor费用
sigkdd-general_chair,总主席组织者
sigkdd-gold_supporter,黄金支持者Sponzor
sigkdd-hotel,酒店广场
sigkdd-invited_speaker,邀请发言人
sigkdd-listener,听众的人
sigkdd-main_office,主要办公地点
sigkdd-organizator,组织者人员计划委员会成员组织委员会成员总主席网站管理员
sigkdd-organizing_committee,组织委员会委员会
sigkdd-organizing_committee_member,委员会成员
sigkdd-paper,纸质文件
sigkdd-person,有些人可以留在酒店的事物发言人组织者听众位置注册费
sigkdd-place,放置酒店会议厅主办公室
sigkdd-platinum_supporter,白金支持者Sponzor
sigkdd-program_chair,计划主席组织
sigkdd-program_committee,计划委员会
sigkdd-program_committee_member,计划委员
sigkdd-registration_non-member,注册非成员注册费
sigkdd-registration_sigkdd_member,注册SIGKDD会员注册费
sigkdd-registration_sigmod_member,注册Sigmod会员注册费
sigkdd-registration_student,注册学生注册费
sigkdd-registration_fee,注册费费用注册SIGMOD会员注册非会员注册SIGKDD成员注册学生
sigkdd-review,评论文件
sigkdd-silver_supporter,银支持者Sponzor
sigkdd-speaker,发言人邀请发言人作者文件
sigkdd-sponzor,Sponzor参展商青铜支持者银色支持者金色支持者铂金支持者最佳学生纸支持者ACM Sigkdd
sigkdd-sponzor_fee,Sponzor费用
sigkdd-webmaster,网站管理员组织者
sigkdd-thing,acm sigkdd的人
linklings-abstract,抽象内容
linklings-acceptedsubmission,接受
linklings-adminregistered,管理注册人的某些HASROLE角色恰好1
linklings-administrator,管理员角色某些设置设定的cubismissFeaturesEttings仅注册了一些设置设置的RoleSettings
linklings-applicant,申请人角色某些Isroleinvolvedin应用
linklings-application,申请提交类型的一些Hosroleinvolvolvolvolvol的申请人
linklings-author,作者一些Isroleinvolvedin纸角色
linklings-basicuser,基础用户一些人签名的自我注册角色
linklings-conference,会议活动一些哈斯essionsessionsessession XSD类型的ConferenceName：字符串的一些类型XSD：字符串
linklings-conferencesession,会议
linklings-content,content仅hasContentType contentType一些hascontconttype contentType fullText摘要
linklings-contenttype,ContentType
linklings-event,活动有些人放置一些HastimeInterval TimeInterval会话会议
linklings-fulltext,完整内容
linklings-panel,面板订购一些悬挂式面板模型的一些Hasroleinvolvolvolvolvolvolvold的小组成员
linklings-panelmoderator,面板改型器角色一些异烯伏洛文素面板
linklings-panelist,小组成员角色一些Isroleinvolvedin面板
linklings-paper,纸一些涉及大量作者提交类型的作者
linklings-person,XSD类型的某些hasaddress：字符串XSD类型的一些hasfirstname：字符串XSD类型的hassureName：字符串注册unregisteredperson
linklings-place,恰好放置1个Hasaddress Room
linklings-registeredperson,注册人员管理员注册自注册
linklings-rejectedsubmission,拒绝提交
linklings-reviewer,评论者
linklings-role,角色有些人签名的管理员招聘了一些Hassetting Rolesettings SessionChair管理员PanelModerator作者Panelist Panelist panelists Basicuser Basicuser
linklings-rolesettings,reolesettings设置某些issetby管理员某些issetting for working for wore
linklings-room,房间有些带有XSD类型的房间名称：string恰好位置的1个正好的1个正好的1个hashength的1个正好的1个正好的1个
linklings-selfregistered,精确地注册了1个HASROLE BASICUSER注册者的1
linklings-session,会话事件
linklings-sessionchair,Session Chair角色一些Hasprogramagramissign的会议
linklings-settings,设置rolesettings intimingfeaturesettings
linklings-submission,提交一些istypeof提交恰好是hassubmissigntype的1个hasscontent内容，XSD类型的hastitle：字符串
linklings-submissionfeaturesettings,FibsissionFeaturesEttings一些issettingting for提议类型某些Issetby管理员设置
linklings-submissionstatus,提交某些issubmissionStatusof提交仅issubmissionStatusof提交的iSstatussetby审稿人
linklings-submissiontype,排序类型的一些麻烦的cutfeaturesettings申请面板纸
linklings-timeinterval,TimeInterval正好是Hasenddate的1个恰好1
linklings-undecidedsubmission,不确定的提交
linklings-unregisteredperson,未注册的人未注册人
pcs-accepted_paper,接受的纸纸外部审稿人或二级审稿人
pcs-administrator,管理员有些生成电子程序某些生成报告某些发送电子邮件人员电子程序或报告电子邮件
pcs-author,作者会议记录一些写纸纸
pcs-cd,CD电子程序
pcs-committeemember,委员会会议委员会二级审核者小学论文
pcs-conference,会议计划会议编程
pcs-conferencemember,会议成员人士委员会作者会议
pcs-document,文件评论纸人
pcs-electronic_proceeding,电子程序网站CD
pcs-email,电子邮件信息邀请管理员
pcs-external_reviewer,外部审查者某些费率纸接受论文某些阅读论文接受的论文一些写作评论
pcs-information,信息电子邮件
pcs-invitation,邀请电子邮件
pcs-person,某些人获得信息会议会议记录外部审阅者管理员电子邮件系统文档
pcs-paper,纸文件接受的纸张拒绝纸质委员会作者
pcs-primary_reviewer,小学审核者一些接受论文某些分配审核委员会审查审核
pcs-programme,计划会议
pcs-rejected_paper,拒绝的纸张
pcs-report,报告
pcs-review,评论文档主要审稿人外部审核者或二级审核者
pcs-secondary_reviewer,中学审阅者委员会一些写作评论
pcs-system,系统
pcs-web_site,网站电子程序
pcs-thing,事物
paperdyne-abstract,抽象贡献文件
paperdyne-abstract_and_paper_submission_phase,摘要和纸张提交阶段阶段ofConferencePrexration
paperdyne-assignment_phase,分配阶段具有值为false的值，因为允许的值为false false for falleRegister阶段opofepreprepreprepration具有false false false forse forseuploadcrc具有false false false false falsebmitpaper具有alse false forse
paperdyne-author,作者有些人创造贡献至少0个讲话的纸张缅因州合着者合着者贡献
paperdyne-bidding_and_paper_submission_phase,投标和提交提交阶段的投标阶段的价值为aLLEVIBMITPAPER
paperdyne-bidding_phase,竞标阶段阶段阶段会议竞标和提交阶段的招标，而没有纸提交阶段
paperdyne-bidding_without_paper_submission_phase,没有纸提交阶段的竞标对于允许bibmitpaper招标阶段的价值为false
paperdyne-blocked_phase,阻止阶段具有值为false的值false forsement具有false false false false false abely as valy false false false false falloadcrc具有false false false forse allowReview phaseofconferencepreparationpreparation具有false false fals for fals for lasterubmitpaper
paperdyne-camera_ready_copy,相机就绪复制贡献文件
paperdyne-camera_ready_copy_phase,摄像机准备就绪复制阶段具有值为false的值false for允许阶段opofconferencePrexerationpreation具有值false false false false valy false false fals for laseubmitpaper具有值false forse forse
paperdyne-closed_phase,封闭的阶段阶段ofConferencePrexeration具有值为false的值，因为允许bimitpaper具有值false false false false false false false forse falleuploAdcrc具有false false false false false falleReview具有值false forse forse
paperdyne-co-author,合着者与合着者或缅因州合着者合着至少1个合着者。
paperdyne-conference,会议仅由计划委员会主席事物计划委员会主席主题位置组织
paperdyne-confirmed_conflict,确认冲突某些论文某些BlockAssigningToreViewer论文某些审稿人利益冲突仅可见审稿人
paperdyne-conflict_of_interest,利益冲突某些可见的计划comitee主席仅由冲突规则管理事物自我冲突提议冲突隐藏冲突删除冲突已确认的冲突，等待拟议的冲突
paperdyne-conflict_rules,冲突规则只能管理利益冲突事物
paperdyne-contribution,贡献一些涵盖主题的某些创建作者贡献文件论文作者
paperdyne-contribution_file,贡献文件一些提交的作者贡献海报抽象幻灯片摄像头准备副本源存档纸文件
paperdyne-deleted_conflict,删除的利益冲突冲突与BlockAssigningToreViewer纸无关
paperdyne-discussion,讨论
paperdyne-e-mail_pc_meeting,电子邮件PC会议计划委员会会议对虚拟具有价值真实
paperdyne-hidden_conflict,仅由计划委员会主席提出的隐藏的利益冲突冲突与BlockAssigningToreViewer纸无关
paperdyne-invitation_of_reviewers_phase,审阅者的邀请阶段阶段会议编制
paperdyne-location,地点
paperdyne-mainauthor,MAINAUTHOR一些提议的冲突至少有0个提议的冲突，至少有0个合作者，只有观点仅提议的冲突，只有共同作者至少有0个观点的作者，作者有作者一些提交的贡献文件
paperdyne-pc_meeting,PC会议计划委员会会议对虚拟有价值虚假
paperdyne-paper,论文至少0个isinconflictwith贡献了一些isinconflictwith审稿人唯一的spokenby演讲者comitee主席comitee comitee评论者
paperdyne-paper_file,纸文件贡献文件
paperdyne-pending_proposed_conflict,审议的冲突仅可见，审稿人的利益冲突某些BlockAssigningToreViewer纸质审稿人
paperdyne-person,人计划委员会主席发言人审稿人
paperdyne-phaseofconferencepreparation,阶段会议编程抽象和纸张提交阶段分配阶段相机准备阶段设置阶段相位销售阶段闭合阶段审查阶段封锁审查员阶段的相位邀请
paperdyne-poster,海报贡献文件
paperdyne-program_comitee,计划委员会一些哈希成员审稿人一些Hasembers计划委员会主席事物论文
paperdyne-program_comitee_chair,计划comitee主席一些观点的利益冲突一些组织会议人员一些组织的计划comitee会议会议的一些comitee comitee至少0视图纸审稿人会议comitee comitee epeceofConferencePreparationPreparationprearationpreationpreation
paperdyne-program_comitee_meeting,计划委员会会议某些讨论仅发生在位置PC会议电子邮件PC会议会议
paperdyne-proposed_conflict,提出的利益冲突冲突缅因州的某些提议的仅证明是作者的作者一些BlockAssigningToreviewer纸
paperdyne-review,回顾一些法官纸的东西一些创建的审稿人
paperdyne-review_phase,审核阶段的值为false fals for允许的值false fals falsebmitpaper具有false false false forse regregister阶段opofreferationprearationpreation
paperdyne-reviewer,Reviewer at least 0 of hasConflictType some memberOf Program Comitee Person at least 0 of views some views Confirmed Conflict or Pending Proposed Conflict some creates Review some submits Review at least 0 of isInConflictWith only hasConflictType Confirmed Conflict or Pending Proposed Conflict some isInConflictWith Paper Program Comitee Chair Paper Pending Proposed Conflict
paperdyne-self_conflict,自我冲突某些BlockAssigningToreviewer纸张利益冲突仅可见缅因州和审稿人
paperdyne-setup_phase,设置阶段具有值为false的值fals，for lasteruploadcrc阶段opofepreprepreprepreprepreprepreparation具有false false false ablesubmitpaper具有false false false false false false false fals false false false false forse forse forse ablowReview forse forse
paperdyne-slides,幻灯片贡献文件
paperdyne-source_archive,源存档贡献文件
paperdyne-speaker,发言人至少有1个说话的人会说纸
paperdyne-topic,主题的一些贡献
paperdyne-thing,事物会议计划委员会贡献主题计划委员会召开利益冲突审查冲突规则
openconf-adobe_pdf,Adobe PDF格式
openconf-advocate,提倡纸
openconf-advocated_paper,倡导论文倡导者
openconf-author,作者有些写纸纸联系作者纸
openconf-balanced_theory_and_practice,平衡理论与实践论文分类
openconf-clarity_to_present_understanding,明确理解总体价值
openconf-classic_papers,经典论文主题
openconf-clear_accept,清楚接受建议
openconf-clear_reject,明确拒绝建议
openconf-committees,委员会领域主题
openconf-computer_science,计算机科学主题
openconf-conference_program,会议计划主席计划纸
openconf-contact_author,联系作者提交的论文
openconf-corel_word_perfect,Corel Word Perfect Format
openconf-domain_topic,领域主题人委员会论文
openconf-format,格式值分区postcript html corel word perfect rtf ms word text adobe pdf
openconf-html,HTML格式
openconf-high,高级评论者家族
openconf-highly_practical,高度实用的论文分类
openconf-highly_theoretical,高度理论纸分类
openconf-humour,幽默主题
openconf-long_bool,长布尔
openconf-low,低评论者家族
openconf-ms_word,MS Word格式
openconf-marginal_tend_to_accept,边缘倾向于接受建议
openconf-marginal_tend_to_reject,边际倾向于拒绝建议
openconf-member,会员人
openconf-moderate,中等评论者家族
openconf-must_accept,必须接受建议
openconf-networking,网络主题
openconf-new_information,新信息总价值
openconf-new_perspective_issue_problem_solving,新的观点问题解决总体价值
openconf-not_much,总体价值不多
openconf-other,其他总体价值
openconf-overall_value,总体价值评论值新信息的其他不明显的信息来呈现理解新的观点问题问题解决当前知识的有价值的确认
openconf-paper,论文有些是由作者域主题提交的论文作者撰写的
openconf-paper_categorization,纸分类评论值高度理论倾向于理论倾向于实用的高度实用平衡理论和实践
openconf-paper_file,纸文件格式
openconf-paper_review,论文评论审稿人长书籍纸分类总体价值建议
openconf-people,人域主题成员作者
openconf-planed_paper,计划纸质会议计划
openconf-portable_reject,便携式拒绝建议
openconf-postscript,后记格式
openconf-program_committee,计划委员会
openconf-program_chair,计划主席会议计划
openconf-programming,编程主题
openconf-rfc,RFC主题
openconf-rtf,RTF格式
openconf-reccommendation,建议审查值清楚接受必须接受边际倾向于接受便携式拒绝拒绝拒绝边际倾向于拒绝
openconf-result_of_advocate,倡导者的结果
openconf-review_committee,审查委员会
openconf-review_values,审查值值分区纸分类总价值建议
openconf-reviewed_paper,审查论文
openconf-reviewer,审稿人纸评论
openconf-reviewer_famliliarity,评论者famliariyity高度中等
openconf-submitted_paper,提交的纸张纸有些存储在纸文件中，有些已通过联系人联系人联系人纸文件发送
openconf-tends_towards_practical,倾向于实用纸分类
openconf-tends_towards_theoretical,倾向于理论论文分类
openconf-text,文本格式
openconf-topics,主题价值分区经典论文编程计算机科学RFC幽默网络
openconf-valuable_confirmation_of_present_knowledge,有价值的当前知识总体价值的确认
openconf-value_partition,价值分区格式评论值主题
cmt-acceptance,接受决定
cmt-administrator,管理员用户纸程序committeembermember审核者会议
cmt-associatedchair,AssocationChair Cherencemember
cmt-author,作者用户会议编者合着者authornotreviewer纸
cmt-authornotreviewer,AuthornOtreviewer作者
cmt-bid,出价审稿人
cmt-chairman,董事长
cmt-co-author,合着者作者论文
cmt-conference,会议恰好是评论纸的1个名称中的1个至少1个日期管理员会议记录
cmt-conferencechair,会议会议会议
cmt-conferencemember,会议记录人员ProgramCommittembermemberm Conterenceair审稿人作者AssipedChair会议
cmt-decision,决策接受拒绝
cmt-document,文件纸评论
