concept,prompt
edas-document,Document Paper Review MealMenu SlideSet Programme AcademicEvent or Conference or ConferenceSession or Person
edas-excursion,Excursion SocialEvent
edas-freetimebreak,FreeTimeBreak BreakEvent
edas-governmentorganization,GovernmentOrganization Organization
edas-industryorganization,IndustryOrganization Organization
edas-mealbreak,MealBreak BreakEvent
edas-mealevent,MealEvent NonAcademicEvent ConferenceDinner MealMenu
edas-mealmenu,MealMenu Document MealEvent
edas-medicinetopic,MedicineTopic Topic
edas-meetingroomplace,MeetingRoomPlace Place
edas-microelectronicstopic,MicroelectronicsTopic Topic
edas-mobilecomputingtopic,MobileComputingTopic Topic
edas-multimediatopic,MultimediaTopic Topic
edas-ngo,NGO Organization
edas-nonacademicevent,NonAcademicEvent ConferenceEvent BreakEvent MealEvent SocialEvent
edas-numericalreviewquestion,NumericalReviewQuestion ReviewQuestion
edas-operatingtopicsystems,OperatingTopicsystems Topic
edas-organization,Organization GovernmentOrganization NGO AcademiaOrganization IndustryOrganization Sponsorship
edas-organizationalmeeting,OrganizationalMeeting AcademicEvent
edas-paper,Paper Document PublishedPaper PendingPaper WithdrawnPaper AcceptedPaper ActivePaper RejectedPaper ConferenceChair or Reviewer or SessionChair or TPCMember Author
edas-paperpresentation,PaperPresentation AcademicEvent AcceptedPaper
edas-parallelanddistributedcomputingtopic,ParallelAndDistributedComputingTopic Topic
edas-pendingpaper,PendingPaper Paper
edas-performancetopic,PerformanceTopic Topic
edas-person,Person TPCMember Attendee ConferenceChair SessionChair ConferenceEvent Conference
edas-personalhistory,PersonalHistory PersonalReviewHistory PersonalPublicationHistory
edas-personalpublicationhistory,PersonalPublicationHistory PersonalHistory
edas-personalreviewhistory,PersonalReviewHistory PersonalHistory Reviewer
edas-place,Place MeetingRoomPlace ConferenceVenuePlace AccommodationPlace DiningPlace ConferenceEvent
edas-powerlinetransmissiontopic,PowerlineTransmissionTopic Topic
edas-presenter,Presenter Author
edas-programme,Programme Document ConferenceEvent
edas-publishedpaper,PublishedPaper Paper
edas-radiocommunicationstopic,RadioCommunicationsTopic Topic
edas-ratedpapers,RatedPapers ActivePaper
edas-reception,Reception SocialEvent
edas-rejectrating,RejectRating ReviewRating
edas-rejectedpaper,RejectedPaper Paper
edas-review,Review Document
edas-reviewform,ReviewForm 
edas-reviewquestion,ReviewQuestion TextualReviewQuestion NumericalReviewQuestion
edas-reviewrating,ReviewRating AcceptRating AccpetIfRoomRating WeekRejectRating RejectRating
edas-reviewer,Reviewer PersonalReviewHistory
edas-satelliteandspacecommunicationstopic,SatelliteAndSpaceCommunicationsTopic Topic
edas-securitytopic,SecurityTopic Topic
edas-sessionchair,SessionChair Person
edas-signalprocessingtopic,SignalProcessingTopic Topic
edas-singlelevelconference,SingleLevelConference 
edas-slideset,SlideSet Document
edas-socialevent,SocialEvent NonAcademicEvent Excursion Reception
edas-sponsorship,Sponsorship TravelGrant Organization
edas-tpcmember,TPCMember Person
edas-talkevent,TalkEvent AcademicEvent ClosingTalk WelcomeTalk
edas-testonlytopic,TestOnlyTopic Topic
edas-textualreviewquestion,TextualReviewQuestion ReviewQuestion
edas-topic,Topic WirelessCommunicationsTopic SatelliteAndSpaceCommunicationsTopic TestOnlyTopic RadioCommunicationsTopic SecurityTopic CryptographyTopic SignalProcessingTopic CommunicationTheoryTopic MedicineTopic PowerlineTransmissionTopic ComputerArchitectureTopic MultimediaTopic ParallelAndDistributedComputingTopic PerformanceTopic CADTopic AntennasTopic MobileComputingTopic OperatingTopicsystems ComputerNetworksTopic CommunicationsTopic MicroelectronicsTopic Conference or Paper
edas-travelgrant,TravelGrant Sponsorship
edas-twolevelconference,TwoLevelConference 
edas-weekrejectrating,WeekRejectRating ReviewRating
edas-welcometalk,WelcomeTalk TalkEvent
edas-wirelesscommunicationstopic,WirelessCommunicationsTopic Topic
edas-withdrawnpaper,WithdrawnPaper Paper
edas-workshop,Workshop AcademicEvent
edas-thing,Thing Conference
conference-abstract,Abstract Extended abstract Paper or Poster or Presentation
conference-accepted_contribution,Accepted contribution Reviewed contribution Camera ready contribution
conference-active_conference_participant,Active conference participant Conference participant Conference contributor Invited speaker or Regular author Presentation
conference-call_for_paper,Call for paper Conference document
conference-call_for_participation,Call for participation Conference document
conference-camera_ready_contribution,Camera ready contribution Accepted contribution
conference-chair,Chair Committee member Committee
conference-co-chair,Co-chair Committee member Committee
conference-committee,Committee Steering committee Program committee Organizing committee Chair Co-chair Committee member Conference volume
conference-committee_member,Committee member Person Chair Co-chair Committee
conference-conference,Conference Conference volume
conference-conference_announcement,Conference announcement Conference document
conference-conference_applicant,Conference applicant Person Registeered applicant
conference-conference_contribution,Conference contribution Conference document Written contribution Presentation Poster Conference volume
conference-conference_contributor,Conference contributor Person Regular author Active conference participant Invited speaker
conference-conference_document,Conference document Call for participation Information for participants Review Call for paper Conference www Conference contribution Conference announcement Person
conference-conference_fees,Conference fees 
conference-conference_part,Conference part Workshop Track Tutorial Track-workshop chair Topic Conference volume
conference-conference_participant,Conference participant Person Passive conference participant Active conference participant
conference-conference_proceedings,Conference proceedings Publisher
conference-conference_volume,Conference volume Conference Committee Program committee Steering committee Organizing committee Conference contribution Important dates Conference part Track Tutorial Workshop
conference-conference_www,Conference www Conference document
conference-contribution_1th-author,Contribution 1th-author Regular author
conference-contribution_co-author,Contribution co-author Regular author
conference-early_paid_applicant,Early paid applicant Paid applicant
conference-extended_abstract,Extended abstract Regular contribution Abstract
conference-important_dates,Important dates Conference volume
conference-information_for_participants,Information for participants Conference document
conference-invited_speaker,Invited speaker Conference contributor
conference-invited_talk,Invited talk Presentation
conference-late_paid_applicant,Late paid applicant Paid applicant
conference-organization,Organization 
conference-organizer,Organizer Committee member or Organization Thing
conference-organizing_committee,Organizing committee Committee Conference volume
conference-paid_applicant,Paid applicant Registeered applicant Early paid applicant Late paid applicant
conference-paper,Paper Regular contribution
conference-passive_conference_participant,Passive conference participant Conference participant
conference-person,Person Conference applicant Conference contributor Track-workshop chair Committee member Conference participant Reviewer Conference document
conference-poster,Poster Conference contribution
conference-presentation,Presentation Conference contribution Invited talk Active conference participant
conference-program_committee,Program committee Committee Conference volume
conference-publisher,Publisher Conference proceedings
conference-registeered_applicant,Registeered applicant Conference applicant Paid applicant
conference-regular_author,Regular author Conference contributor Contribution 1th-author Contribution co-author
conference-regular_contribution,Regular contribution Written contribution Extended abstract Paper
conference-rejected_contribution,Rejected contribution Reviewed contribution
conference-review,Review only has authors Reviewer Conference document Reviewed contribution
conference-review_expertise,Review expertise some has a submitted contribution Submitted contribution Thing some belongs to reviewers Reviewer Submitted contribution
conference-review_preference,Review preference Thing some has a topic or a submission contribution Submitted contribution or Topic some belongs to reviewers Reviewer Submitted contribution or Topic
conference-reviewed_contribution,Reviewed contribution Submitted contribution Accepted contribution Rejected contribution Review
conference-reviewer,Reviewer Person Review expertise or Review preference Reviewer
conference-steering_committee,Steering committee Committee Conference volume
conference-submitted_contribution,Submitted contribution Written contribution Poster or Regular contribution Reviewed contribution Review expertise
conference-topic,Topic Review preference Conference part
conference-track,Track Conference part
conference-track-workshop_chair,Track-workshop chair Person Conference part
conference-tutorial,Tutorial Conference part
conference-workshop,Workshop Conference part
conference-written_contribution,Written contribution Conference contribution Poster or Regular contribution Submitted contribution Regular contribution
conference-thing,Thing Review expertise Review preference Organizer
myreview-acceptedpaper,AcceptedPaper some isRatedBy Review Paper has value Accept for hasStatus some isAcceptedBy Chair Session
myreview-administrator,Administrator ProgramCommitteeMember Criterion or PaperStatus or Question or ResearchTopic
myreview-author,Author Person ContactAuthor Paper
myreview-bookletofabstracts,BookletOfAbstracts OutputDocument
myreview-cd-rom,CD-ROM OutputDocument
myreview-chair,Chair ProgramCommitteeMember Paper Reviewer Session OutputDocument Fee or PaymentMode
myreview-conference,Conference Thing exactly 1 of hasEmail exactly 1 of hasName exactly 1 of hasAcronym
myreview-conferenceattendant,ConferenceAttendant has value true for paid exactly 1 of hasAdress exactly 1 of hasPhone Person some mustPay Fee Fee
myreview-conferenceprogram,ConferenceProgram exactly 1 of isProgramOf Thing Slot Conference
myreview-contactauthor,ContactAuthor Author exactly 1 of hasEmail PaperAbstract
myreview-criterion,Criterion Thing exactly 1 of hasWeight
myreview-document,Document PaperAbstract Paper Review Evaluation
myreview-evaluation,Evaluation Document Review
myreview-externalreviewer,ExternalReviewer some cooperatesReviewer Reviewer Person Reviewer
myreview-externalreviewerslist,ExternalReviewersList OutputDocument
myreview-fee,Fee 
myreview-indexofauthors,IndexOfAuthors OutputDocument
myreview-listofabstracts,ListOfAbstracts OutputDocument
myreview-outputdocument,OutputDocument some isProducedBy Chair Thing ExternalReviewersList IndexOfAuthors BookletOfAbstracts ListOfAbstracts CD-ROM Program PCMembersList Proceedings Chair
myreview-pcmemberslist,PCMembersList OutputDocument
myreview-paper,Paper exactly 1 of hasID exactly 1 of hasTitle some hasAuthor Author exactly 1 of hasMainTopic Document exactly 1 of hasAbstract some paperIsSubmittedBy Author AcceptedPaper RejectedPaper PaperAbstract Author ResearchTopic PaperStatus Chair Review Reviewer
myreview-paperabstract,PaperAbstract Document some abstractIsSubmittedBy ContactAuthor ContactAuthor Paper
myreview-paperquestion,PaperQuestion Question
myreview-paperstatus,PaperStatus Paper
myreview-paymentmode,PaymentMode 
myreview-person,Person exactly 1 of hasFirstName exactly 1 of hasLastName exactly 1 of hasAffiliation Thing ConferenceAttendant ProgramCommitteeMember ExternalReviewer Author
myreview-proceedings,Proceedings some includes IndexOfAuthors some includes PCMembersList some includes ExternalReviewersList some includes AcceptedPaper OutputDocument AcceptedPaper or ExternalReviewersList or IndexOfAuthors or PCMembersList
myreview-program,Program OutputDocument
myreview-programcommittee,ProgramCommittee some hasMember Administrator Thing some hasMember Chair ProgramCommitteeMember
myreview-programcommitteemember,ProgramCommitteeMember exactly 1 of hasEmail Person Chair Reviewer Administrator ProgramCommittee
myreview-question,Question PaperQuestion ReviewQuestion
myreview-rejectedpaper,RejectedPaper Paper some isRatedBy Review some isRejectedBy Chair has value Reject for hasStatus
myreview-researchtopic,ResearchTopic Thing some isAssignedBy Administrator
myreview-review,Review Document exactly 1 of containsEvaluation some isWritenBy Reviewer exactly 1 of rates Evaluation Reviewer Paper
myreview-reviewquestion,ReviewQuestion Question
myreview-reviewer,Reviewer ProgramCommitteeMember Paper ExternalReviewer ResearchTopic Review
myreview-session,Session Thing exactly 1 of isAssociatedTo AcceptedPaper Chair Slot
myreview-slot,Slot Thing exactly 1 of endsAt exactly 1 of beginsAt exactly 1 of date ConferenceProgram Session
myreview-thing,Thing ConferenceProgram Person Session ResearchTopic Conference ProgramCommittee Criterion OutputDocument Slot
sigkdd-acm_sigkdd,ACM SIGKDD some hold Conference some search Sponzor Thing some design Deadline Deadline Conference Sponzor
sigkdd-abstract,Abstract Document
sigkdd-author,Author Speaker some notification until Deadline Author notification Author of paper Author of paper student Deadline Author notification Award Paper
sigkdd-author_of_paper,Author of paper some award Best Applications Paper Award some award Best Research Paper Award Author
sigkdd-author_of_paper_student,Author of paper student some award Best Student Paper Award Author
sigkdd-award,Award Best Student Paper Award Best Research Paper Award Best Applications Paper Award
sigkdd-best_applications_paper_award,Best Applications Paper Award Award
sigkdd-best_paper_awards_committee,Best Paper Awards Committee Committee
sigkdd-best_research_paper_award,Best Research Paper Award Award
sigkdd-best_student_paper_award,Best Student Paper Award Award
sigkdd-best_student_paper_supporter,Best Student Paper Supporter Sponzor
sigkdd-bronze_supporter,Bronze Supporter Sponzor
sigkdd-committee,Committee Program Committee Best Paper Awards Committee Organizing Committee
sigkdd-conference,Conference ACM SIGKDD
sigkdd-conference_hall,Conference hall Place
sigkdd-deadline,Deadline Deadline Paper Submission Deadline Abstract Submission Deadline Author notification ACM SIGKDD
sigkdd-deadline_abstract_submission,Deadline Abstract Submission Deadline
sigkdd-deadline_author_notification,Deadline Author notification Deadline
sigkdd-deadline_paper_submission,Deadline Paper Submission Deadline
sigkdd-document,Document Abstract Review Paper Speaker Deadline
sigkdd-exhibitor,Exhibitor Sponzor
sigkdd-fee,Fee Registration fee Sponzor fee
sigkdd-general_chair,General Chair Organizator
sigkdd-gold_supporter,Gold Supporter Sponzor
sigkdd-hotel,Hotel Place
sigkdd-invited_speaker,Invited Speaker Speaker
sigkdd-listener,Listener Person
sigkdd-main_office,Main office Place
sigkdd-organizator,Organizator Person Webmaster General Chair Program Committee member Program Chair Organizing Committee member
sigkdd-organizing_committee,Organizing Committee Committee
sigkdd-organizing_committee_member,Organizing Committee member Organizator
sigkdd-paper,Paper Document
sigkdd-person,Person Thing some can stay in Hotel Organizator Listener Speaker Place Registration fee
sigkdd-place,Place Hotel Conference hall Main office
sigkdd-platinum_supporter,Platinum Supporter Sponzor
sigkdd-program_chair,Program Chair Organizator
sigkdd-program_committee,Program Committee Committee
sigkdd-program_committee_member,Program Committee member Organizator
sigkdd-registration_non-member,Registration Non-Member Registration fee
sigkdd-registration_sigkdd_member,Registration SIGKDD Member Registration fee
sigkdd-registration_sigmod_member,Registration SIGMOD Member Registration fee
sigkdd-registration_student,Registration Student Registration fee
sigkdd-registration_fee,Registration fee Fee Registration Student Registration SIGMOD Member Registration SIGKDD Member Registration Non-Member Person
sigkdd-review,Review Document
sigkdd-silver_supporter,Silver Supporter Sponzor
sigkdd-speaker,Speaker Person Invited Speaker Author Document
sigkdd-sponzor,Sponzor Best Student Paper Supporter Gold Supporter Exhibitor Silver Supporter Platinum Supporter Bronze Supporter ACM SIGKDD
sigkdd-sponzor_fee,Sponzor fee Fee
sigkdd-webmaster,Webmaster Organizator
sigkdd-thing,Thing Person ACM SIGKDD
linklings-abstract,Abstract Content
linklings-acceptedsubmission,AcceptedSubmission 
linklings-adminregistered,AdminRegistered exactly 1 of isRegisteredBy some hasRole Role RegisteredPerson
linklings-administrator,Administrator some setsSetting RoleSettings Role only registers AdminRegistered some setsSetting SubmissionFeatureSettings
linklings-applicant,Applicant some isRoleInvolvedIn Application Role
linklings-application,Application SubmissionType some hasRoleInvolved Applicant
linklings-author,Author some isRoleInvolvedIn Paper Role
linklings-basicuser,BasicUser some hasPersonAssigned SelfRegistered Role
linklings-conference,Conference some hasTheme of type xsd:string some hasSession ConferenceSession Event some hasConferenceName of type xsd:string
linklings-conferencesession,ConferenceSession 
linklings-content,Content some hasContentType ContentType only hasContentType ContentType FullText Abstract
linklings-contenttype,ContentType 
linklings-event,Event some hasTimeInterval TimeInterval some hasPlace Place Session Conference
linklings-fulltext,FullText Content
linklings-panel,Panel some hasRoleInvolved Panelist SubmissionType some hasRoleInvolved PanelModerator
linklings-panelmoderator,PanelModerator some isRoleInvolvedIn Panel Role
linklings-panelist,Panelist some isRoleInvolvedIn Panel Role
linklings-paper,Paper some hasRoleInvolved Author SubmissionType
linklings-person,Person some hasAddress of type xsd:string some hasSureName of type xsd:string some hasFirstName of type xsd:string UnregisteredPerson RegisteredPerson
linklings-place,Place exactly 1 of hasAddress Room
linklings-registeredperson,RegisteredPerson Person AdminRegistered SelfRegistered
linklings-rejectedsubmission,RejectedSubmission 
linklings-reviewer,Reviewer 
linklings-role,Role some hasSetting RoleSettings some hasPersonAssigned AdminRegistered Administrator BasicUser Applicant SessionChair PanelModerator Author Panelist
linklings-rolesettings,RoleSettings Settings some isSetBy Administrator some isSettingFor Role
linklings-room,Room Place some hasRoomName of type xsd:string exactly 1 of hasHeight exactly 1 of hasLength exactly 1 of hasWidth exactly 1 of hasCapacity
linklings-selfregistered,SelfRegistered exactly 1 of isRegisteredBy some hasRole BasicUser RegisteredPerson
linklings-session,Session Event
linklings-sessionchair,SessionChair Role some hasProgramAssigned ConferenceSession
linklings-settings,Settings SubmissionFeatureSettings RoleSettings
linklings-submission,Submission some isTypeOf Submission exactly 1 of hasSubmissionType some hasTitle of type xsd:string some hasContent Content
linklings-submissionfeaturesettings,SubmissionFeatureSettings Settings some isSetBy Administrator some isSettingFor SubmissionType
linklings-submissionstatus,SubmissionStatus only isSubmissionStatusOf Submission some isStatusSetBy Reviewer some isSubmissionStatusOf Submission
linklings-submissiontype,SubmissionType some hasSetting SubmissionFeatureSettings Application Panel Paper
linklings-timeinterval,TimeInterval exactly 1 of hasStartDate exactly 1 of hasEndDate
linklings-undecidedsubmission,UndecidedSubmission 
linklings-unregisteredperson,UnregisteredPerson Person exactly 1 of registers
pcs-accepted_paper,Accepted paper Paper External Reviewer or Secondary Reviewer
pcs-administrator,Administrator some generate Electronic proceeding some send Email PERSON some generate Report Electronic proceeding or Report Email
pcs-author,Author some write paper Paper ConferenceMember Paper
pcs-cd,CD Electronic proceeding
pcs-committeemember,CommitteeMember ConferenceMember Secondary Reviewer Primary Reviewer Paper
pcs-conference,Conference Programme ConferenceMember
pcs-conferencemember,ConferenceMember PERSON Author CommitteeMember Conference
pcs-document,DOCUMENT Paper Review PERSON
pcs-electronic_proceeding,Electronic proceeding Web site CD
pcs-email,Email Information Invitation Administrator
pcs-external_reviewer,External Reviewer some write review Review some rate paper Accepted paper PERSON some read paper Accepted paper
pcs-information,Information Email
pcs-invitation,Invitation Email
pcs-person,PERSON Thing some get Information ConferenceMember Administrator External Reviewer Email System DOCUMENT
pcs-paper,Paper DOCUMENT Rejected paper Accepted paper CommitteeMember Author
pcs-primary_reviewer,Primary Reviewer some assign review Review CommitteeMember some accept Paper Review
pcs-programme,Programme Conference
pcs-rejected_paper,Rejected paper Paper
pcs-report,Report 
pcs-review,Review DOCUMENT Primary Reviewer External Reviewer or Secondary Reviewer
pcs-secondary_reviewer,Secondary Reviewer CommitteeMember some write review Review
pcs-system,System 
pcs-web_site,Web site Electronic proceeding
pcs-thing,Thing PERSON
paperdyne-abstract,Abstract Contribution File
paperdyne-abstract_and_paper_submission_phase,Abstract And Paper Submission Phase PhaseOfConferencePreparation
paperdyne-assignment_phase,Assignment Phase PhaseOfConferencePreparation has value false for allowReview has value false for allowBid has value false for allowUploadCRC has value false for allowSubmitPaper has value false for allowRegister
paperdyne-author,Author at least 0 of speaks some speaks Paper some creates Contribution Person Co-Author MainAuthor Contribution
paperdyne-bidding_and_paper_submission_phase,Bidding And Paper Submission Phase has value true for allowSubmitPaper Bidding Phase
paperdyne-bidding_phase,Bidding Phase PhaseOfConferencePreparation Bidding Without Paper Submission Phase Bidding And Paper Submission Phase
paperdyne-bidding_without_paper_submission_phase,Bidding Without Paper Submission Phase Bidding Phase has value false for allowSubmitPaper
paperdyne-blocked_phase,Blocked Phase has value false for allowBid has value false for allowUploadCRC has value false for allowSubmitPaper PhaseOfConferencePreparation has value false for allowReview has value false for allowRegister
paperdyne-camera_ready_copy,Camera Ready Copy Contribution File
paperdyne-camera_ready_copy_phase,Camera Ready Copy Phase has value false for allowSubmitPaper has value false for allowBid PhaseOfConferencePreparation has value false for allowRegister has value false for allowReview
paperdyne-closed_phase,Closed Phase has value false for allowReview has value false for allowSubmitPaper has value false for allowRegister PhaseOfConferencePreparation has value false for allowBid has value false for allowUploadCRC
paperdyne-co-author,Co-Author Author at least 1 of coauthorsWith some coauthorsWith Co-Author or MainAuthor
paperdyne-conference,Conference only organisedBy Program Comitee Chair Thing Program Comitee Chair Topic Location
paperdyne-confirmed_conflict,Confirmed Conflict some relates Paper some blockAssigningToReviewer Paper only visibleBy Reviewer Conflict Of Interest some relates Reviewer
paperdyne-conflict_of_interest,Conflict Of Interest only managedBy Conflict Rules some visibleBy Program Comitee Chair Thing Hidden Conflict Proposed Conflict Deleted Conflict Self Conflict Confirmed Conflict Pending Proposed Conflict
paperdyne-conflict_rules,Conflict Rules only manages Conflict Of Interest Thing
paperdyne-contribution,Contribution Thing some covers Topic some createdBy Author Paper Contribution File Author
paperdyne-contribution_file,Contribution File Contribution some submittedBy Author Paper File Source Archive Abstract Poster Camera Ready Copy Slides
paperdyne-deleted_conflict,Deleted Conflict does not relate to blockAssigningToReviewer Paper Conflict Of Interest
paperdyne-discussion,Discussion 
paperdyne-e-mail_pc_meeting,E-mail PC Meeting Program Comitee Meeting has value true for isVirtual
paperdyne-hidden_conflict,Hidden Conflict does not relate to blockAssigningToReviewer Paper Conflict Of Interest only proposedBy Program Comitee Chair
paperdyne-invitation_of_reviewers_phase,Invitation Of Reviewers Phase PhaseOfConferencePreparation
paperdyne-location,Location 
paperdyne-mainauthor,MainAuthor at least 0 of coauthorsWith only coauthorsWith Co-Author at least 0 of proposes Author some submits Contribution File at least 0 of views some proposes Proposed Conflict only views Proposed Conflict
paperdyne-pc_meeting,PC Meeting has value false for isVirtual Program Comitee Meeting
paperdyne-paper,Paper Contribution only spokenBy Speaker some isInConflictWith Reviewer at least 0 of isInConflictWith Program Comitee Chair Program Comitee Reviewer
paperdyne-paper_file,Paper File Contribution File
paperdyne-pending_proposed_conflict,Pending Proposed Conflict some blockAssigningToReviewer Paper Conflict Of Interest only visibleBy Reviewer Reviewer
paperdyne-person,Person Author Speaker Program Comitee Chair Reviewer
paperdyne-phaseofconferencepreparation,PhaseOfConferencePreparation Closed Phase Bidding Phase Review Phase Assignment Phase Setup Phase Invitation Of Reviewers Phase Blocked Phase Abstract And Paper Submission Phase Camera Ready Copy Phase
paperdyne-poster,Poster Contribution File
paperdyne-program_comitee,Program Comitee Thing some hasMembers Program Comitee Chair some hasMembers Reviewer Paper
paperdyne-program_comitee_chair,Program Comitee Chair Person some organises Conference some memberOf Program Comitee some views Conflict Of Interest some organises Program Comitee Meeting at least 0 of views Paper Reviewer Conference Program Comitee PhaseOfConferencePreparation
paperdyne-program_comitee_meeting,Program Comitee Meeting Thing only takesPlace Location some contains Discussion E-mail PC Meeting PC Meeting
paperdyne-proposed_conflict,Proposed Conflict only visibleBy Author some proposedBy MainAuthor some blockAssigningToReviewer Paper Conflict Of Interest
paperdyne-review,Review some judges Paper some createdBy Reviewer Thing
paperdyne-review_phase,Review Phase has value false for allowSubmitPaper has value false for allowBid PhaseOfConferencePreparation has value false for allowRegister
paperdyne-reviewer,Reviewer some memberOf Program Comitee only hasConflictType Confirmed Conflict or Pending Proposed Conflict at least 0 of hasConflictType at least 0 of isInConflictWith some submits Review some creates Review some isInConflictWith Paper Person some views Confirmed Conflict or Pending Proposed Conflict at least 0 of views Program Comitee Chair Paper Pending Proposed Conflict
paperdyne-self_conflict,Self Conflict Conflict Of Interest only visibleBy both MainAuthor and Reviewer some blockAssigningToReviewer Paper
paperdyne-setup_phase,Setup Phase has value false for allowSubmitPaper PhaseOfConferencePreparation has value false for allowRegister has value false for allowBid has value false for allowReview has value false for allowUploadCRC
paperdyne-slides,Slides Contribution File
paperdyne-source_archive,Source Archive Contribution File
paperdyne-speaker,Speaker Person at least 1 of speaks some speaks Paper
paperdyne-topic,Topic some coveredBy Contribution Thing
paperdyne-thing,Thing Review Conflict Rules Program Comitee Contribution Conflict Of Interest Conference Program Comitee Meeting Topic
openconf-adobe_pdf,Adobe PDF Format
openconf-advocate,Advocate Advocated Paper
openconf-advocated_paper,Advocated Paper Advocate
openconf-author,Author some writes Paper Paper People Contact Author Paper
openconf-balanced_theory_and_practice,Balanced Theory and Practice Paper Categorization
