concept,prompt
cmt-administrator,"administrator  related classes: user  properties: accept paper, accepted by, add program committee member, added by, assign reviewer, assigned by administrator, details entered by, enable virtual meeting, enter conference details, enter review criteria, finalize paper assignment, hardcopy mailing manifests printed by, paper assignment finalized by, paper assignment tools run by, print hardcopy mailing manifests, reject paper, rejected by, review criteria entered by, reviewer bidding started by, run paper assignment tools, set max papers, start reviewer bidding, virtual meeting enabled by"
cmt-associatedchair,"associated chair  related classes: conference chair, conference member"
cmt-author,"author  related classes: author not reviewer, co author, conference member, user  properties: has author, submit paper, write paper"
cmt-authornotreviewer,"author not reviewer  related classes: author, program committee member, reviewer"
cmt-bid,"bid  related classes: conference, decision, document, person, preference, program committee  properties: adjust bid, adjusted by, has bid"
cmt-chairman,"chairman  related classes: associated chair, conference chair, person, program committee chair"
cmt-co-author,"co author  related classes: author  properties: co write paper, has co author"
cmt-conference,"conference  related classes: bid, decision, document, person, preference, program committee  properties: accepts hardcopy submissions, date, details entered by, enable virtual meeting, enter conference details, enter review criteria, finalize paper assignment, hardcopy mailing manifests printed by, has conference member, logo url, member of conference, name, paper assignment finalized by, paper assignment tools run by, print hardcopy mailing manifests, review criteria entered by, reviewer bidding started by, reviews per paper, run paper assignment tools, site url, start reviewer bidding, virtual meeting enabled by"
cmt-conferencechair,"conference chair  related classes: associated chair, conference member"
cmt-conferencemember,"conference member  related classes: associated chair, author, conference chair, person, program committee member, reviewer  properties: has conference member, member of conference"
cmt-decision,"decision  related classes: acceptance, bid, conference, document, person, preference, program committee, rejection  properties: has decision"
cmt-document,"document  related classes: bid, conference, decision, paper, person, preference, program committee, review  properties: has conflict of interest"
cmt-externalreviewer,"external reviewer  related classes: person, reviewer  properties: assign external reviewer, assigned by reviewer"
cmt-meta-review,meta review  related classes: review
cmt-meta-reviewer,meta reviewer  related classes: reviewer  properties: read by meta reviewer
cmt-paper,"paper  related classes: document, paper abstract, paper full version, review  properties: accept paper, accepted by, assigned to, co write paper, has author, has been assigned, has bid, has co author, has decision, has subject area, mark conflict of interest, paper id, read by meta reviewer, read by reviewer, read paper, reject paper, rejected by, submit paper, title, write paper"
cmt-paperabstract,paper abstract  related classes: paper
cmt-paperfullversion,paper full version  related classes: paper
cmt-person,"person  related classes: bid, chairman, conference, conference member, decision, document, external reviewer, preference, program committee, program committee member, user  properties: email, has conflict of interest"
cmt-preference,"preference  related classes: bid, conference, decision, document, person, program committee"
cmt-programcommittee,"program committee  related classes: bid, conference, decision, document, person, preference  properties: has program committee member, member of program committee"
cmt-programcommitteechair,program committee chair  related classes: program committee member  properties: end review
cmt-programcommitteemember,"program committee member  related classes: author not reviewer, conference member, person, program committee chair  properties: add program committee member, added by, has program committee member, max papers, member of program committee, set max papers"
cmt-rejection,"rejection  related classes: acceptance, decision"
cmt-review,"review  related classes: document, meta review, paper  properties: end review, write review, written by"
cmt-reviewer,"reviewer  related classes: author not reviewer, conference member, external reviewer, meta reviewer, user  properties: adjust bid, adjusted by, assign external reviewer, assign reviewer, assigned by administrator, assigned by reviewer, assigned to, has been assigned, read by reviewer, read paper, write review, written by"
cmt-subjectarea,subject area  properties: has subject area
cmt-user,"user  related classes: administrator, author, person, reviewer"
confof-administrative_event,"administrative event  related classes: camera ready event, event, registration of participants event, reviewing event, reviewing results event, social event, submission event, working event  properties: follows, has administrative event, parallel with"
confof-administrator,administrator  related classes: person
confof-assistant,assistant  related classes: person
confof-author,"author  related classes: person  properties: writes, written by"
confof-banquet,"banquet  related classes: reception, social event, trip"
confof-camera_ready_event,"camera ready event  related classes: administrative event, registration of participants event, reviewing event, reviewing results event, submission event"
confof-chair_pc,chair pc  related classes: person
confof-city,"city  related classes: contribution, event, organization, person, topic  properties: has city"
confof-company,"company  related classes: organization, university"
confof-conference,"conference  related classes: tutorial, working event, workshop"
confof-contribution,"contribution  related classes: city, country, event, organization, paper, person, poster, short paper, topic  properties: abstract, contact email, deals with, has keyword, has title, remark, reviewes, writes, written by"
confof-country,"country  related classes: contribution, event, organization, person, topic  properties: has country"
confof-event,"event  related classes: administrative event, city, contribution, country, organization, person, social event, topic, working event  properties: ends on, starts on"
confof-member,member  related classes: participant
confof-member_pc,"member pc  related classes: person  properties: expert on, reviewes"
confof-organization,"organization  related classes: city, company, contribution, country, event, person, topic, university  properties: employed by"
confof-paper,"paper  related classes: contribution, poster, short paper"
confof-participant,"participant  related classes: member, person, regular, student  properties: early registration"
confof-person,"person  related classes: administrator, assistant, author, chair pc, city, contribution, country, event, member pc, organization, participant, scholar, science worker, topic, volunteer  properties: employed by, has city, has country, has email, has fax, has first name, has home page, has phone, has postal code, has street, has surname"
confof-poster,"poster  related classes: contribution, paper, short paper"
confof-reception,"reception  related classes: banquet, social event, trip"
confof-registration_of_participants_event,"registration of participants event  related classes: administrative event, camera ready event, reviewing event, reviewing results event, submission event"
confof-regular,regular  related classes: participant
confof-reviewing_event,"reviewing event  related classes: administrative event, camera ready event, registration of participants event, reviewing results event, submission event"
confof-reviewing_results_event,"reviewing results event  related classes: administrative event, camera ready event, registration of participants event, reviewing event, submission event"
confof-scholar,scholar  related classes: person  properties: study at
confof-science_worker,science worker  related classes: person
confof-short_paper,"short paper  related classes: contribution, paper, poster"
confof-social_event,"social event  related classes: administrative event, banquet, event, reception, trip, working event  properties: default choice, has title, location"
confof-student,student  related classes: participant
confof-submission_event,"submission event  related classes: administrative event, camera ready event, registration of participants event, reviewing event, reviewing results event"
confof-topic,"topic  related classes: city, contribution, country, event, organization, person  properties: deals with, expert on, has topic"
confof-trip,"trip  related classes: banquet, reception, social event"
confof-tutorial,"tutorial  related classes: conference, working event, workshop"
confof-university,"university  related classes: company, organization  properties: study at"
confof-volunteer,volunteer  related classes: person
confof-working_event,"working event  related classes: administrative event, conference, event, social event, tutorial, workshop  properties: default choice, has administrative event, has title, has topic, location"
confof-workshop,"workshop  related classes: conference, tutorial, working event"
edas-academiaorganization,"academia organization  related classes: government organization, industry organization, ngo, organization"
edas-academicevent,"academic event  related classes: conference event, non academic event, organizational meeting, paper presentation, talk event, workshop  properties: for event, has call"
edas-acceptrating,"accept rating  related classes: accpet if room rating, reject rating, review rating, week reject rating"
edas-acceptedpaper,"accepted paper  related classes: active paper, paper, pending paper, published paper, rejected paper, withdrawn paper  properties: related to event, related to paper"
edas-accommodationplace,accommodation place  related classes: place
edas-accpetifroomrating,"accpet if room rating  related classes: accept rating, reject rating, review rating, week reject rating"
edas-activepaper,"active paper  related classes: accepted paper, paper, pending paper, published paper, rated papers, rejected paper, withdrawn paper  properties: has rating"
edas-antennastopic,"antennas topic  related classes: cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-attendee,attendee  related classes: person
edas-author,"author  related classes: conference chair, person, presenter, session chair, tpc member  properties: has related paper, is written by"
edas-breakevent,"break event  related classes: coffee break, free time break, meal break, meal event, non academic event"
edas-cadtopic,"cad topic  related classes: antennas topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-call,"call  related classes: call for manuscripts, call for papers, call for reviews, conference, conference event, conference session, contact information, country, document, organization, person, personal history, place, review form, review question, review rating, sponsorship, topic  properties: for event, has call, has submission deadline, has submission instructions, initiates, is initiated by"
edas-callformanuscripts,call for manuscripts  related classes: call
edas-callforpapers,call for papers  related classes: call
edas-callforreviews,call for reviews  related classes: call
edas-closingtalk,"closing talk  related classes: talk event, welcome talk"
edas-coffeebreak,coffee break  related classes: break event
edas-communicationtheorytopic,"communication theory topic  related classes: antennas topic, cad topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-communicationstopic,"communications topic  related classes: antennas topic, cad topic, communication theory topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-computerarchitecturetopic,"computer architecture topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-computernetworksaapplicationstopic,"computer networks aapplications topic  related classes: computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworksenterprisetopic,"computer networks enterprise topic  related classes: computer networks aapplications topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworksmanagementtopic,"computer networks management topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworksmeasurementstopic,"computer networks measurements topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworksopticaltopic,"computer networks optical topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworkssecuritytopic,"computer networks security topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks sensor topic, computer networks switching topic, computer networks topic"
edas-computernetworkssensortopic,"computer networks sensor topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks switching topic, computer networks topic"
edas-computernetworksswitchingtopic,"computer networks switching topic  related classes: computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks topic"
edas-computernetworkstopic,"computer networks topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks aapplications topic, computer networks enterprise topic, computer networks management topic, computer networks measurements topic, computer networks optical topic, computer networks security topic, computer networks sensor topic, computer networks switching topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-conference,"conference  related classes: call, conference event, conference session, contact information, country, document, organization, paper, person, personal history, place, review form, review question, review rating, sponsorship, topic  properties: end date, has country, has member, has name, has topic, is member of, manuscript due on, paper due on, registration due on, start date"
edas-conferencechair,"conference chair  related classes: author, person"
edas-conferencedinner,conference dinner  related classes: meal event
edas-conferenceevent,"conference event  related classes: academic event, call, conference, conference session, contact information, country, document, non academic event, organization, person, personal history, place, review form, review question, review rating, sponsorship, topic  properties: attendee at, belongs to event, has attendee, has end date time, has location, has programme, has start date time, is location of"
edas-conferencesession,"conference session  related classes: call, conference, conference event, contact information, country, document, organization, person, personal history, place, review form, review question, review rating, sponsorship, topic"
edas-conferencevenueplace,conference venue place  related classes: place
edas-contactinformation,"contact information  related classes: call, conference, conference event, conference session, country, document, organization, personal history, place, review form, review question, review rating, sponsorship, topic  properties: has city, has phone, has postal code, has street"
edas-country,"country  related classes: call, conference, conference event, conference session, contact information, document, organization, person, personal history, place, review form, review question, review rating, sponsorship, topic  properties: has country"
edas-cryptographytopic,"cryptography topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-diningplace,dining place  related classes: place
edas-document,"document  related classes: call, conference, conference event, conference session, contact information, country, meal menu, organization, paper, person, personal history, place, programme, review, review form, review question, review rating, slide set, sponsorship, topic  properties: has related document, relates to"
edas-excursion,excursion  related classes: social event
edas-freetimebreak,free time break  related classes: break event
edas-governmentorganization,"government organization  related classes: academia organization, industry organization, ngo, organization"
edas-industryorganization,"industry organization  related classes: academia organization, government organization, ngo, organization"
edas-mealbreak,meal break  related classes: break event
edas-mealevent,"meal event  related classes: break event, conference dinner, non academic event  properties: has menu, is menu of"
edas-mealmenu,"meal menu  related classes: document, paper, programme, review, slide set  properties: has menu, is menu of"
edas-medicinetopic,"medicine topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-meetingroomplace,meeting room place  related classes: place
edas-microelectronicstopic,"microelectronics topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-mobilecomputingtopic,"mobile computing topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-multimediatopic,"multimedia topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-ngo,"ngo  related classes: academia organization, government organization, industry organization, organization"
edas-nonacademicevent,"non academic event  related classes: academic event, break event, conference event, meal event, social event"
edas-numericalreviewquestion,numerical review question  related classes: review question
edas-operatingtopicsystems,"operating topicsystems  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-organization,"organization  related classes: academia organization, call, conference, conference event, conference session, contact information, country, document, government organization, industry organization, ngo, person, personal history, place, review form, review question, review rating, sponsorship, topic  properties: is provider of, provided by"
edas-organizationalmeeting,"organizational meeting  related classes: academic event, paper presentation, talk event, workshop"
edas-paper,"paper  related classes: accepted paper, active paper, conference, document, meal menu, pending paper, programme, published paper, rejected paper, review, slide set, withdrawn paper  properties: has related paper, is reviewed by, is reviewing, is written by"
edas-paperpresentation,"paper presentation  related classes: academic event, organizational meeting, talk event, workshop  properties: related to event, related to paper"
edas-parallelanddistributedcomputingtopic,"parallel and distributed computing topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-pendingpaper,"pending paper  related classes: accepted paper, active paper, paper, published paper, rejected paper, withdrawn paper"
edas-performancetopic,"performance topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-person,"person  related classes: attendee, call, conference, conference chair, conference event, conference session, country, document, organization, personal history, place, review form, review question, review rating, session chair, sponsorship, topic, tpc member  properties: attendee at, has attendee, has biography, has first name, has last name, has member, is member of"
edas-personalhistory,"personal history  related classes: call, conference, conference event, conference session, contact information, country, document, organization, person, personal publication history, personal review history, place, review form, review question, review rating, sponsorship, topic"
edas-personalpublicationhistory,personal publication history  related classes: personal history
edas-personalreviewhistory,"personal review history  related classes: personal history  properties: has review history, is review history of"
edas-place,"place  related classes: accommodation place, call, conference, conference event, conference session, conference venue place, contact information, country, dining place, document, meeting room place, organization, person, personal history, review form, review question, review rating, sponsorship, topic  properties: has location, is location of"
edas-powerlinetransmissiontopic,"powerline transmission topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-presenter,presenter  related classes: author
edas-programme,"programme  related classes: document, meal menu, paper, review, slide set  properties: belongs to event, has programme"
edas-publishedpaper,"published paper  related classes: accepted paper, active paper, paper, pending paper, rejected paper, withdrawn paper"
edas-radiocommunicationstopic,"radio communications topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-ratedpapers,rated papers  related classes: active paper
edas-reception,reception  related classes: social event
edas-rejectrating,"reject rating  related classes: accept rating, accpet if room rating, review rating, week reject rating"
edas-rejectedpaper,"rejected paper  related classes: accepted paper, active paper, paper, pending paper, published paper, withdrawn paper"
edas-review,"review  related classes: document, meal menu, paper, programme, slide set"
edas-reviewform,"review form  related classes: call, conference, conference event, conference session, contact information, country, document, organization, person, personal history, place, review question, review rating, sponsorship, topic"
edas-reviewquestion,"review question  related classes: call, conference, conference event, conference session, contact information, country, document, numerical review question, organization, person, personal history, place, review form, review rating, sponsorship, textual review question, topic"
edas-reviewrating,"review rating  related classes: accept rating, accpet if room rating, call, conference, conference event, conference session, contact information, country, document, organization, person, personal history, place, reject rating, review form, review question, sponsorship, topic, week reject rating  properties: has rating"
edas-reviewer,"reviewer  related classes: person  properties: has review history, is review history of"
edas-satelliteandspacecommunicationstopic,"satellite and space communications topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, security topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-securitytopic,"security topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, signal processing topic, test only topic, topic, wireless communications topic"
edas-sessionchair,"session chair  related classes: author, person"
edas-signalprocessingtopic,"signal processing topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, test only topic, topic, wireless communications topic"
edas-singlelevelconference,"single level conference  related classes: conference, two level conference"
edas-slideset,"slide set  related classes: document, meal menu, paper, programme, review"
edas-socialevent,"social event  related classes: excursion, non academic event, reception"
edas-sponsorship,"sponsorship  related classes: call, conference, conference event, conference session, contact information, country, document, organization, person, personal history, place, review form, review question, review rating, topic, travel grant  properties: has cost amount, has cost currency, is provider of, provided by"
edas-tpcmember,"tpc member  related classes: author, person"
edas-talkevent,"talk event  related classes: academic event, closing talk, organizational meeting, paper presentation, welcome talk, workshop"
edas-testonlytopic,"test only topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, topic, wireless communications topic"
edas-textualreviewquestion,textual review question  related classes: review question
edas-topic,"topic  related classes: antennas topic, cad topic, call, communication theory topic, communications topic, computer architecture topic, computer networks topic, conference, conference event, conference session, contact information, country, cryptography topic, document, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, organization, parallel and distributed computing topic, performance topic, person, personal history, place, powerline transmission topic, radio communications topic, review form, review question, review rating, satellite and space communications topic, security topic, signal processing topic, sponsorship, test only topic, wireless communications topic  properties: has topic, is topic of"
edas-travelgrant,travel grant  related classes: sponsorship
edas-twolevelconference,two level conference  related classes: conference
edas-weekrejectrating,"week reject rating  related classes: accept rating, accpet if room rating, reject rating, review rating"
edas-welcometalk,"welcome talk  related classes: closing talk, talk event"
edas-wirelesscommunicationstopic,"wireless communications topic  related classes: antennas topic, cad topic, communication theory topic, communications topic, computer architecture topic, computer networks topic, cryptography topic, medicine topic, microelectronics topic, mobile computing topic, multimedia topic, operating topicsystems, parallel and distributed computing topic, performance topic, powerline transmission topic, radio communications topic, satellite and space communications topic, security topic, signal processing topic, test only topic, topic"
edas-withdrawnpaper,"withdrawn paper  related classes: accepted paper, active paper, paper, pending paper, published paper, rejected paper"
edas-workshop,"workshop  related classes: academic event, organizational meeting, paper presentation, talk event"
ekaw-abstract,"abstract  related classes: document, invited talk abstract, tutorial abstract"
ekaw-academic_institution,"academic institution  related classes: organisation, organising agency, research institute, university  properties: scientifically organised by, scientifically organises"
ekaw-accepted_paper,"accepted paper  related classes: camera ready paper, evaluated paper, rejected paper  properties: has review"
ekaw-agency_staff_member,agency staff member  related classes: person
ekaw-assigned_paper,"assigned paper  related classes: evaluated paper, submitted paper  properties: has reviewer"
ekaw-camera_ready_paper,"camera ready paper  related classes: accepted paper, evaluated paper, paper, submitted paper  properties: updated version of, written by"
ekaw-conference,"conference  related classes: contributed talk, invited talk, scientific event, session, social event, track, tutorial, workshop"
