concept,prompt
sentence2phrase.trial-trial-s2p-24-1,Je suis un entrepreneur à plusieurs reprises  vivant et travaillant au cœur de la Silicon Valley depuis un quart de siècle.
sentence2phrase.trial-trial-s2p-24-2,prolapsus de la valve mitrale
sentence2phrase.trial-trial-s2p-25-1,si tu joues avec mes cheveux très doucement  je tomberai probablement amoureux de toi.
sentence2phrase.trial-trial-s2p-25-2,la sensation de faire tournoyer ses cheveux
sentence2phrase.trial-trial-s2p-26-1,En 1770  le capitaine britannique James Cook débarqua à Botany Bay  dans la péninsule de Kurnell.
sentence2phrase.trial-trial-s2p-26-2,faux alunissage
sentence2phrase.trial-trial-s2p-27-1,Vraisemblablement  l’idée était de laisser les concurrents deviner  mais aussi de surprendre et de ravir les fidèles lors des révélations de nouveaux produits.
sentence2phrase.trial-trial-s2p-27-2,promotion de produits en magasin
sentence2phrase.trial-trial-s2p-28-1,Les amas de coquillages se trouvent dans les zones côtières du monde entier.
sentence2phrase.trial-trial-s2p-28-2,les amas de coquilles côtières quasi universels
sentence2phrase.trial-trial-s2p-29-1,L’image montre les deux frères apparemment se soutenir mutuellement.
sentence2phrase.trial-trial-s2p-29-2,un portrait d'amour fraternel
sentence2phrase.trial-trial-s2p-30-1,La série d'une heure suit un professeur de lycée optimiste alors qu'il tente de transformer le Glee Club de l'école et d'inspirer un groupe d'artistes hétéroclites à se rendre à la plus grande compétition de toutes : les championnats nationaux.
sentence2phrase.trial-trial-s2p-30-2,rêves de compétition nationale
sentence2phrase.trial-trial-s2p-31-1,Il existe plusieurs autres méthodes de navigation céleste qui permettent également de déterminer la position à l'aide d'observations au sextant  telles que la méthode « Noon Sight » et la méthode plus archaïque « Distance lunaire ».
sentence2phrase.trial-trial-s2p-31-2,navigation céleste par observation au sextant
sentence2phrase.trial-trial-s2p-32-1,Il existe un moyen de recharger la Tesla Model S dans tout le pays plus rapidement que vous ne pourriez remplir un réservoir d’essence.
sentence2phrase.trial-trial-s2p-32-2,machine mystérieuse
sentence2phrase.trial-trial-s2p-33-1,Aucun produit chimique n'est utilisé pour changer de couleur lorsque vous faites pipi dans la piscine :
sentence2phrase.trial-trial-s2p-33-2,colorants changeant de couleur
sentence2phrase.trial-trial-s2p-34-1,Ils ont été retrouvés dans une caisse en bois posée près d’une poubelle à proximité d’une école primaire.
sentence2phrase.trial-trial-s2p-34-2,caisses près du tas d'ordures de l'école
sentence2phrase.trial-trial-s2p-35-1,Nous avons acheté de la drogue au marché noir de Silk Road.
sentence2phrase.trial-trial-s2p-35-2,marchandises illégales
sentence2phrase.trial-trial-s2p-36-1,Lorsque j’ai demandé à Meiklejohn d’essayer de retracer les transactions de Forbes  j’ai commencé par lui donner les adresses Bitcoin associées à notre compte sur le populaire service de portefeuille Bitcoin Coinbase – les informations pourraient en théorie être obtenues par n’importe quel organisme d’enquête chargé de l’application des lois qui envoie une assignation à comparaître à Coinbase.
sentence2phrase.trial-trial-s2p-36-2,tracer les transactions monétaires
paragraph2sentence.trial-trial-p2s-1-1,Gareth Bale a été présenté aux supporters du Real Madrid suite à son transfert record du monde de 85 3 millions de livres sterling (100 millions d'euros) depuis Tottenham. L'attaquant gallois a reçu un accueil enthousiaste après être monté sur scène dans un costume sombre devant plus de 20 000 supporters au stade Bernabeu. S'exprimant en espagnol  le joueur de 24 ans a déclaré à ses fans : "C'est un rêve d'être ici à Madrid. Merci pour cet accueil.
paragraph2sentence.trial-trial-p2s-1-2,Une ville japonaise a décidé de démolir un bateau de pêche abandonné  devenu un symbole du tsunami dévastateur de 2011  ont annoncé des responsables.
paragraph2sentence.trial-trial-p2s-2-1,Bien que principalement composées de neige et d'air  les grosses avalanches ont la capacité d'entraîner de la glace  des roches  des arbres et d'autres matériaux sur la pente et se distinguent des coulées de boue  des éboulements rocheux et des effondrements de séracs sur une cascade de glace. Les avalanches ne sont pas des événements rares ou aléatoires et sont endémiques à toute chaîne de montagnes qui accumule un manteau neigeux permanent. Les avalanches sont plus fréquentes en hiver ou au printemps  mais les mouvements des glaciers peuvent provoquer des avalanches de glace et de neige à tout moment de l'année. En terrain montagneux  les avalanches comptent parmi les risques naturels objectifs les plus graves pour la vie et les biens  leur capacité destructrice résultant de leur capacité à transporter d'énormes masses de neige à grande vitesse.
paragraph2sentence.trial-trial-p2s-2-2,La masse glaciaire étant affectée par les changements climatiques à long terme  les changements de masse glaciaire sont considérés comme une source majeure de variations du niveau de la mer.
paragraph2sentence.trial-trial-p2s-3-1,Contrairement à la plupart des animaux  les baleines respirent consciemment. Tous les mammifères dorment  mais les baleines ne peuvent pas se permettre de rester inconscientes longtemps car elles risquent de se noyer. Bien que la connaissance du sommeil chez les cétacés sauvages soit limitée  il a été observé que des cétacés à dents en captivité dormaient avec un côté de leur cerveau à la fois  apparemment pour pouvoir nager  respirer consciemment  éviter les prédateurs et les contacts sociaux pendant leur période de repos. On pense qu'un seul hémisphère du cerveau de la baleine dort à la fois  de sorte qu'elle se repose mais ne s'endort jamais complètement.
paragraph2sentence.trial-trial-p2s-3-2,Étant des respirateurs conscients  les baleines ne peuvent pas rester inconscientes longtemps.
paragraph2sentence.trial-trial-p2s-4-1,Les voitures de F1 sont les voitures de course sur circuit multitours les plus rapides au monde  en raison de vitesses de virage très élevées obtenues grâce à la génération de grandes quantités d'appui aérodynamique. Les voitures de Formule 1 courent à des vitesses allant jusqu'à 350 km/h (220 mph) avec des moteurs dont les performances sont limitées à un maximum de 18 000 tours par minute (RPM). Les voitures sont capables d’une accélération latérale supérieure à cinq g dans les virages. Les performances des voitures dépendent fortement de l’électronique – même si l’antipatinage et autres aides à la conduite sont interdites depuis 2008 – ainsi que de l’aérodynamisme  de la suspension et des pneus. La formule a radicalement évolué et changé au cours de l’histoire du sport.
paragraph2sentence.trial-trial-p2s-4-2,La Formule 1 est la classe la plus élevée des courses automobiles monoplaces.
paragraph2sentence.trial-trial-p2s-5-1,Le champion olympique Usain Bolt a retrouvé son titre mondial du 100 m et a remporté une quatrième médaille d'or individuelle aux Championnats du monde avec un record de la saison de 9 77 secondes à Moscou. Sous une pluie battante  le Jamaïcain de 26 ans a réparé son faux départ à Daegu il y a deux ans et a consolidé encore davantage son statut de plus grand sprinteur de l'histoire. Le sextuple champion olympique a dépassé Justin Gatlin dans les phases finales  obligeant l'Américain à se contenter de l'argent en 9 85. La compatriote de Bolt  Nesta Carter (9 95)  a remporté le bronze  tandis que le Britannique James Dasaolu a terminé huitième (10 21).
paragraph2sentence.trial-trial-p2s-5-2,L'Allemand Robert Harting bat l'Iranien Ehsan Hadadi et ajoute le titre olympique du disque à sa couronne mondiale.
paragraph2sentence.trial-trial-p2s-6-1,Dans le monde entier  les centrales hydroélectriques produisent environ 24 pour cent de l’électricité mondiale et approvisionnent en électricité plus d’un milliard de personnes. Les centrales hydroélectriques du monde produisent un total combiné de 675 000 mégawatts  soit l'équivalent énergétique de 3 6 milliards de barils de pétrole  selon le Laboratoire national des énergies renouvelables. Il existe plus de 2 000 centrales hydroélectriques en activité aux États-Unis  ce qui fait de l'hydroélectricité la plus grande source d'énergie renouvelable du pays.
paragraph2sentence.trial-trial-p2s-6-2,Les centrales hydroélectriques sont la forme d’énergie renouvelable la plus utilisée.
paragraph2sentence.trial-trial-p2s-7-1,Grâce à une turbine réversible  l’usine peut pomper l’eau vers le réservoir supérieur. Cela se fait en heures creuses. Essentiellement  le deuxième réservoir remplit le réservoir supérieur. En pompant l'eau vers le réservoir supérieur  l'usine dispose de plus d'eau pour produire de l'électricité pendant les périodes de pointe de consommation.
paragraph2sentence.trial-trial-p2s-7-2,Aux heures creuses  l'eau est pompée du deuxième vers le réservoir supérieur par une turbine réversible afin d'être utilisée aux heures de pointe de consommation.
paragraph2sentence.trial-trial-p2s-8-1,Le K2 est connu sous le nom de Montagne Sauvage en raison de l'extrême difficulté de son ascension et du deuxième taux de mortalité le plus élevé parmi les huit mille personnes. Pour quatre personnes ayant atteint le sommet  une est morte en essayant. Il est plus dangereux d'atteindre le K2 du côté chinois ; ainsi  il est principalement escaladé du côté pakistanais. Contrairement à l'Annapurna  la montagne avec le taux de mortalité au sommet le plus élevé  le K2 n'a jamais été gravi en hiver.
paragraph2sentence.trial-trial-p2s-8-2,Le K2 occupe la deuxième place pour le taux de mortalité le plus élevé  tuant un grimpeur pour quatre personnes atteignant le sommet.
paragraph2sentence.trial-trial-p2s-9-1,M. Obama sait qu’il bénéficie du soutien du président français François Hollande pour une action militaire. Mais  en raison du vote de la semaine dernière au Parlement britannique  il ne bénéficie que du soutien diplomatique et non militaire du Premier ministre britannique David Cameron. La Turquie prône depuis longtemps une intervention en Syrie et l’Arabie saoudite fait partie de la coalition du Golfe qui soutient activement les rebelles syriens.
paragraph2sentence.trial-trial-p2s-9-2,M. Obama bénéficie du soutien du président français  de la Turquie et de l’Arabie Saoudite pour une action militaire.
paragraph2sentence.trial-trial-p2s-10-1,Le mot « parachute » vient du préfixe français paracete  originaire du grec  signifiant protéger contre  et chute  le mot français pour « chute »  et il a été inventé à l'origine comme un mot hybride qui signifiait littéralement « ce qui protège contre une chute ».
paragraph2sentence.trial-trial-p2s-10-2,Parachute est un mot français qui signifie littéralement « ce qui protège contre une chute ».
paragraph2sentence.trial-trial-p2s-11-1,La pluie de météores la plus visible la plupart des années est celle des Perséides  qui culmine le 12 août de chaque année avec plus d'un météore par minute. La NASA dispose d'un outil utile pour calculer combien de météores par heure sont visibles depuis votre lieu d'observation. La pluie de météores Léonides culmine vers le 17 novembre de chaque année. Environ tous les 33 ans  la pluie des Léonides produit une tempête de météores  culminant à une vitesse de plusieurs milliers de météores par heure. Les tempêtes léonides ont donné naissance au terme pluie de météores lorsqu'on s'est rendu compte pour la première fois  lors de la tempête de novembre 1833  que les météores rayonnaient à proximité de l'étoile Gamma Leonis.
paragraph2sentence.trial-trial-p2s-11-2,Depuis les débuts de l'entreprise  Ferrari est impliquée dans le sport automobile  concourant dans diverses catégories  notamment la Formule 1 et les courses de voitures de sport à travers sa division sportive Scuderia Ferrari  et fournissant des voitures et des moteurs à d'autres équipes et pour une série d'une marque.
paragraph2sentence.trial-trial-p2s-12-1,Des taux d’intérêt élevés encouragent les gens à épargner  tandis que des taux d’intérêt faibles encouragent à dépenser. De nombreuses banques proposeront des taux d’intérêt préférentiels sur les nouveaux comptes pour encourager les gens à commencer à épargner auprès de cette institution. Les taux d’intérêt de l’épargne sont soit fixés à un niveau fixe  de sorte qu’un pourcentage fixe d’intérêt soit payé chaque année. D’un autre côté  il peut suivre le taux de base  ce qui signifie que les intérêts perçus sont plus étroitement liés à la situation économique du pays.
paragraph2sentence.trial-trial-p2s-12-2,Le taux d’intérêt de base est normalement fixé dans presque tous les pays par une banque centrale.
paragraph2sentence.trial-trial-p2s-13-1,En 1996  un groupe de scientifiques a annoncé avoir repéré des preuves solides de la présence de microfossiles sur une météorite martienne découverte en Antarctique  démontrant que la vie aurait pu exister sur la planète rouge il y a environ 3 6 milliards d'années. Après des années de débats intenses  la question de savoir si la météorite martienne contient ou non de la vie reste en suspens. Si cela était vrai  cela fournirait également d’excellentes preuves pour étayer la théorie de la « panspermie ». Signifiant littéralement « des graines partout »  la panspermie est l'idée selon laquelle la vie est venue de l'espace et que les planètes ont échangé de la vie – « vie » dans ce cas signifiant des bactéries  qui peuvent être dormantes et résister à des environnements difficiles. La vie aurait pu exister sur une autre planète  peut-être même aussi proche que Mars  puis se diriger vers la Terre au lieu de provenir d'ici.
paragraph2sentence.trial-trial-p2s-13-2,La découverte de microfossiles sur une météorite martienne trouvée en Antarctique a fourni d'excellentes preuves non seulement de l'existence possible de la vie sur la planète rouge il y a environ 3 6 milliards d'années  mais également de la théorie de la « panspermie ».
paragraph2sentence.trial-trial-p2s-14-1,Un an après une série de meurtres brutaux qui ont suscité dans des proportions presque égales choc et curiosité dans le monde entier  la ville française d'Annecy semble  du moins en surface  avoir retrouvé son rythme tranquille et charmant habituel. Les cafés de la vieille ville sont animés  les sentiers autour du lac regorgent de promeneurs et de cyclistes admirant certains des plus beaux paysages de France et profitant du soleil de fin d'été.
paragraph2sentence.trial-trial-p2s-14-2,Le premier navigateur Web  appelé WorldWideWeb mais rebaptisé plus tard Nexus  a été inventé en 1990 par Sir Tim Berners-Lee.
paragraph2sentence.trial-trial-p2s-15-1,Le procès du capitaine du navire de croisière Costa Concordia  échoué l'année dernière au large de l'Italie  s'est ouvert et a été ajourné à la semaine prochaine. Le capitaine Francesco Schettino  52 ans  fait face à des accusations d'homicide involontaire coupable et d'abandon de navire. Trente-deux personnes sont mortes lorsque le navire a heurté des rochers au large de l'île toscane de Giglio en janvier 2012  puis s'est renversé. L'audience de mardi a été ajournée en raison d'une grève nationale des avocats. Le capitaine Schettino a été accusé d'avoir dirigé le paquebot de luxe trop vite et trop près du rivage  et d'avoir quitté le navire avant que les 4 229 passagers et membres d'équipage ne soient décollés.
paragraph2sentence.trial-trial-p2s-15-2,Les routes himalayennes sont réputées pour attirer un grand nombre de randonneurs.
paragraph2sentence.trial-trial-p2s-16-1,e début du Moyen Âge est souvent appelé « l'âge des ténèbres » car les grandes civilisations de la Grèce et de Rome étaient tombées. La vie en Europe occidentale au Moyen Âge était très dure. Très peu de gens savaient lire ou écrire et personne ne s’attendait à une amélioration des conditions. Le seul espoir pour la plupart des gens au Moyen Âge était leur forte croyance dans le christianisme et l’espoir que la vie au ciel serait meilleure que la vie sur terre.
paragraph2sentence.trial-trial-p2s-16-2,L’histoire du Moyen Âge est caractérisée par la chute de la civilisation grecque et romaine et par la dure vie des peuples d’Europe occidentale.
paragraph2sentence.trial-trial-p2s-17-1,Un couple marié qui se rencontre au travail n'est pas une chose particulièrement rare. Trois travailleurs sur dix qui sont sortis avec un collègue ont déclaré dans une enquête récente de CareerBuilder.com que leur histoire d'amour au bureau a finalement conduit au mariage.
paragraph2sentence.trial-trial-p2s-17-2,Se marier avec un collègue n'est pas rare étant donné que 30 % des travailleurs qui sortaient avec un collègue ont fini par l'épouser.
paragraph2sentence.trial-trial-p2s-18-1,Les affaires ont prospéré pendant quelques décennies  mais elles étaient en difficulté au début du XXIe siècle. Peu de temps après  sa fréquence de publication a été réduite à mensuelle  et il a finalement cessé de paraître après son numéro de mai 2006.
paragraph2sentence.trial-trial-p2s-18-2,Après son succès commercial au XXe siècle  la publication a commencé à connaître des résultats médiocres et a finalement fermé ses portes en 2006.
paragraph2sentence.trial-trial-p2s-19-1,Achevé le 28 mars 1929 pour un coût de 9 5 millions de dollars  le Chicago Stadium était à l'époque la plus grande arène couverte du monde. Le stade Olympia de Détroit  construit deux ans plus tôt  était un modèle pour le stade de Chicago et pouvait accueillir plus de 15 000 personnes. C'était également la première arène dotée d'un système de climatisation (bien que le système soit assez rudimentaire par rapport aux normes modernes et ait été mémorablement destiné à remplir l'arène de brouillard pendant les matchs de fin de saison).
paragraph2sentence.trial-trial-p2s-19-2,Les rénovations de Détroit n'ont rien fait pour empêcher la ville de s'effondrer ou ses équipes sportives de chercher ailleurs.
paragraph2sentence.trial-trial-p2s-20-1,Depuis sa création jusqu'au milieu des années 1990  les fonds de la FSF ont été principalement utilisés pour employer des développeurs de logiciels chargés d'écrire des logiciels libres pour le projet GNU. Depuis le milieu des années 1990  les employés et bénévoles de la FSF ont principalement travaillé sur des questions juridiques et structurelles pour le mouvement du logiciel libre et la communauté du logiciel libre.
paragraph2sentence.trial-trial-p2s-20-2,L'étude de cas de la FSF réalisée par Lessig a été invoquée pour justifier pourquoi la GPL v3 devrait être préférée pour les nouvelles licences logicielles.
paragraph2sentence.trial-trial-p2s-21-1,Gorbatchev a lancé sa nouvelle politique de perestroïka (littéralement « restructuration ») et les réformes radicales qui l'accompagnent en 1986 ; elles ont été esquissées  mais pas entièrement explicitées  lors du XXVIIe Congrès du Parti en février-mars 1986. La nouvelle politique de « reconstruction » a été introduite dans le but de surmonter la stagnation économique en créant un mécanisme fiable et efficace pour accélérer le progrès économique et social.
paragraph2sentence.trial-trial-p2s-21-2,Face à la stagnation de l’URSS  Gorbatchev a introduit la perestroïka en 1986 pour créer davantage de mécanismes permettant d’accélérer le progrès.
paragraph2sentence.trial-trial-p2s-22-1,J'ai passé peu de temps avec le Galaxy Gear mercredi  et même si aucun aspect des performances matérielles ne semblait fondamentalement défectueux ou cassé  rien ne semblait particulièrement rapide  réactif ou intuitif. La montre ne semble pas avoir de fonction unique. Il s'agit simplement d'imiter les fonctions d'un smartphone avec un moindre effet.
paragraph2sentence.trial-trial-p2s-22-2,La nouvelle « montre intelligente » Samsung Galaxy Gear n’offre aucune nouvelle fonctionnalité par rapport à un téléphone intelligent  ce qui la laisse apparemment peu impressionnante compte tenu de son interface utilisateur peu soignée.
paragraph2sentence.trial-trial-p2s-23-1,En 2007  John Chambers  PDG de Cisco  a décrit le plan à long terme visant à supprimer la marque indépendante Linksys : « Tout cela deviendra  avec le temps  une marque Cisco. La raison pour laquelle nous avons conservé la marque Linksys  car elle était mieux connue aux États-Unis que Cisco  était auprès du consommateur. À l’échelle mondiale  cela présente très peu d’avantages.
paragraph2sentence.trial-trial-p2s-23-2,C'est l'un des derniers routeurs Linksys fabriqués.
paragraph2sentence.trial-trial-p2s-24-1,L'album Thriller de Jackson en 1982 est l'album le plus vendu de tous les temps. Ses autres disques  dont Off the Wall (1979)  Bad (1987)  Dangerous (1991) et HIStory (1995)  figurent également parmi les best-sellers mondiaux. Jackson est l'un des rares artistes à avoir été intronisé deux fois au Rock and Roll Hall of Fame.
paragraph2sentence.trial-trial-p2s-24-2,Michael Jackson est l'un des plus grands artistes de tous les temps  étant même entré deux fois au Temple de la renommée.
paragraph2sentence.trial-trial-p2s-25-1,Madden joue un rôle important dans la bibliothèque de versions annuelles d'EA. L'année dernière  le jeu était juste derrière Call of Duty: Black Ops II d'Activision (ATVI) avec plus de 5 millions d'exemplaires vendus aux États-Unis  selon le groupe NPD. Electronic Arts a vendu à ce jour plus de 100 millions d’exemplaires des jeux Madden  générant plus de 4 milliards de dollars de revenus.
paragraph2sentence.trial-trial-p2s-25-2,Madden est l'un des jeux vidéo les plus importants pour Electronic Arts  générant un chiffre d'affaires de près de quatre milliards de dollars et vendant des millions de jeux.
paragraph2sentence.trial-trial-p2s-26-1,Mannequin Two: On the Move est un film de comédie romantique de 1991 et une suite partielle du film Mannequin de 1987. Le film met en vedette Kristy Swanson dans le rôle d'un mannequin qui a été gelé il y a mille ans par un sorcier maléfique à l'aide d'un collier magique. Elle reste gelée jusqu'à ce que le collier soit retiré et peut rester définitivement dégelée si elle reçoit un baiser de son véritable amour.
paragraph2sentence.trial-trial-p2s-26-2,Mannequin Two est une suite du début des années 90 où une jeune fille a été gelée dans la glace par une méchante sorcière mais prend vie mille ans plus tard en tant que mannequin pour trouver son véritable amour et lever sa malédiction.
paragraph2sentence.trial-trial-p2s-27-1,McLaughlin a joué un rôle très actif dans la direction de l'équipe malgré son absence d'expérience dans ce sport. Pendant la majeure partie de son mandat en tant que propriétaire  il a été son propre directeur général. Il était également très intéressé par la promotion des joueurs de hockey américains  alors très rares dans le hockey professionnel. Plusieurs d'entre eux  dont Doc Romnes  Taffy Abel  Alex Levinsky  Mike Karakas et Cully Dahlstrom  sont devenus des incontournables du club  et sous McLaughlin  les Black Hawks ont été la première équipe de la LNH avec une formation entièrement américaine.
paragraph2sentence.trial-trial-p2s-27-2,Lors de la présentation du modèle économique  l'orateur transpirait sensiblement  ce qui a semé une certaine confusion quant à la confiance de l'équipe dans le projet.
paragraph2sentence.trial-trial-p2s-28-1,Mon affection pour les délits reflète ma croyance en l'un des faits peu connus sur la première année de la faculté de droit. C'est vraiment intéressant. L’année One L aborde les questions juridiques les plus profondes – sur les obligations des citoyens les uns envers les autres  le rôle du gouvernement  la place des tribunaux dans le règlement des conflits. Si ces questions ne vous fascinent pas  vous ne devriez probablement pas étudier le droit en premier lieu.
paragraph2sentence.trial-trial-p2s-28-2,La cafétéria de la faculté de droit est plutôt bien si vous mourez de faim entre les cours.
paragraph2sentence.trial-trial-p2s-29-1,D'autres noms ou surnoms associés à la Barbade incluent « Bim » et « Bimshire ». L'origine est incertaine mais plusieurs théories existent. La Fondation culturelle nationale de la Barbade affirme que « Bim » était un mot couramment utilisé par les esclaves et qu'il dérive de l'expression « bi mu » ou (« bem »  « Ndi bem »  « Nwanyi ibem » ou « Nwoke ibem ») d'une expression Igbo signifiant « mon peuple » ou « ma place ».
paragraph2sentence.trial-trial-p2s-29-2,La Barbade a de nombreux surnoms  tels que « Bim » et « Bimshire »  qui dérivent des langues parlées par les esclaves sur l'île et font référence à leur propre lieu ou à leur peuple.
paragraph2sentence.trial-trial-p2s-30-1,Les traditions spirituelles telles que le hoodoo sont un processus en constante évolution  synthétisé en permanence au contact d’autres cultures  religions et traditions. Ce qui frappe dans le processus folklorique hoodoo  c’est l’utilisation de figures bibliques dans ses pratiques et dans la vie de ses praticiens.  En fait  la plupart des pratiquants du Hoodoo intègrent cette voie populaire à leur foi religieuse chrétienne. Les icônes des saints chrétiens se trouvent souvent sur les sanctuaires ou les autels hoodoo.
paragraph2sentence.trial-trial-p2s-30-2,Les efforts visant à réduire le risque de paludisme en Haïti n'ont été que partiellement couronnés de succès  en partie à cause de la transmission par les travailleurs de l'UNCR eux-mêmes.
paragraph2sentence.trial-trial-p2s-31-1,Le livre est devenu un éternel best-seller  lu par de nombreux étudiants alors qu’ils se préparent à leur première année à la faculté de droit. Selon un article paru en 2007 dans le Wall Street Journal  One L continue de vendre 30 000 exemplaires par an  dont la plupart sont destinés aux étudiants en droit de première année et aux candidats aux facultés de droit.
paragraph2sentence.trial-trial-p2s-31-2,Je viens juste de finir de recevoir mes livres pour ma première année à la faculté de droit  mais j'attends avec impatience One L  qui est censé être drôle.
paragraph2sentence.trial-trial-p2s-32-1,L'actuelle doyenne de la faculté de droit de Harvard est Martha Minow  qui a pris ses fonctions le 1er juillet 2009. Harvard Law compte 246 membres du corps professoral. Beaucoup sont d’éminents juristes ; Les professeurs de la Harvard Law School étaient responsables de plus d'articles téléchargés sur le Social Science Research Network que n'importe quelle autre faculté de droit  un fait qui ne s'explique que partiellement par la taille de l'école.
